CATEGORY,NO_OF_REVIEWS,,,,,,,,,,,
Performing Arts,21869,,,,,,,,,,,
Mobile Phones,21577,,,,,,,,,,,
Gelato,21459,,,,,,,,,,,
Florists,21439,,,,,,,,,,,
Financial Services,21106,,,,,,,,,,,
Wedding Planning,20488,,,,,,,,,,,
Landmarks & Historical Buildings,20286,,,,,,,,,,,
Yoga,20190,,,,,,,,,,,
Candy Stores,20182,,,,,,,,,,,
Modern European,20051,,,,,,,,,,,
Used,19718,,,,,,,,,,,
Vintage & Consignment,19718,,,,,,,,,,,
Fish & Chips,19442,,,,,,,,,,,
Wraps,19422,,,,,,,,,,,
Gift Shops,19362,,,,,,,,,,,
Arcades,18862,,,,,,,,,,,
Shoe Stores,18804,,,,,,,,,,,
Creperies,18547,,,,,,,,,,,
Mattresses,18121,,,,,,,,,,,
Men's Hair Salons,17930,,,,,,,,,,,
Szechuan,17863,,,,,,,,,,,
Optometrists,17841,,,,,,,,,,,
Specialty Schools,17819,,,,,,,,,,,
Appliances & Repair,17503,,,,,,,,,,,
Poke,17358,,,,,,,,,,,
Cheese Shops,17304,,,,,,,,,,,
Building Supplies,17090,,,,,,,,,,,
Hair Extensions,17069,,,,,,,,,,,
Eyewear & Opticians,16905,,,,,,,,,,,
Karaoke,16822,,,,,,,,,,,
Brazilian,16735,,,,,,,,,,,
Brasseries,16688,,,,,,,,,,,
Acai Bowls,16621,,,,,,,,,,,
Tanning,16592,,,,,,,,,,,
Medical Spas,16458,,,,,,,,,,,
Smokehouse,16341,,,,,,,,,,,
Hardware Stores,16213,,,,,,,,,,,
Laundry Services,15924,,,,,,,,,,,
Discount Store,15832,,,,,,,,,,,
New Mexican Cuisine,15787,,,,,,,,,,,
Pasta Shops,15569,,,,,,,,,,,
Historical Tours,15547,,,,,,,,,,,
Amusement Parks,15504,,,,,,,,,,,
Gas Stations,15438,,,,,,,,,,,
Dry Cleaning & Laundry,15370,,,,,,,,,,,
Street Vendors,15285,,,,,,,,,,,
Sewing & Alterations,15277,,,,,,,,,,,
Tobacco Shops,15167,,,,,,,,,,,
Bridal,14853,,,,,,,,,,,
Home Cleaning,14812,,,,,,,,,,,
Auto Glass Services,14775,,,,,,,,,,,
Airports,14705,,,,,,,,,,,
Irish Pub,14544,,,,,,,,,,,
Butcher,14415,,,,,,,,,,,
Tattoo,14352,,,,,,,,,,,
Blow Dry/Out Services,14202,,,,,,,,,,,
Kitchen & Bath,14044,,,,,,,,,,,
Used Car Dealers,13947,,,,,,,,,,,
Food Court,13904,,,,,,,,,,,
Tea Rooms,13881,,,,,,,,,,,
British,13840,,,,,,,,,,,
Water Heater Installation/Repair,13834,,,,,,,,,,,
Bed & Breakfast,13772,,,,,,,,,,,
Shipping Centers,13770,,,,,,,,,,,
Self Storage,13739,,,,,,,,,,,
Organic Stores,13390,,,,,,,,,,,
Eyebrow Services,13252,,,,,,,,,,,
Whiskey Bars,13147,,,,,,,,,,,
Property Management,13129,,,,,,,,,,,
Bookstores,13004,,,,,,,,,,,
Wine Tasting Room,12938,,,,,,,,,,,
Printing Services,12780,,,,,,,,,,,
Thrift Stores,12705,,,,,,,,,,,
Nail Technicians,12562,,,,,,,,,,,
Bikes,12372,,,,,,,,,,,
Community Service/Non-Profit,12355,,,,,,,,,,,
Urgent Care,12353,,,,,,,,,,,
Real Estate Services,12258,,,,,,,,,,,
Waffles,12216,,,,,,,,,,,
Custom Cakes,12174,,,,,,,,,,,
Landscaping,12111,,,,,,,,,,,
Mobile Phone Repair,11956,,,,,,,,,,,
Canadian (New),11760,,,,,,,,,,,
Pet Training,11699,,,,,,,,,,,
Computers,11495,,,,,,,,,,,
Oral Surgeons,11453,,,,,,,,,,,
Hospitals,11344,,,,,,,,,,,
Festivals,11247,,,,,,,,,,,
Antiques,11212,,,,,,,,,,,
Towing,11117,,,,,,,,,,,
Reflexology,11016,,,,,,,,,,,
Electronics Repair,11006,,,,,,,,,,,
Bowling,10924,,,,,,,,,,,
Transmission Repair,10919,,,,,,,,,,,
Shaved Ice,10824,,,,,,,,,,,
Cantonese,10761,,,,,,,,,,,
Taiwanese,10697,,,,,,,,,,,
Permanent Makeup,10677,,,,,,,,,,,
Pan Asian,10525,,,,,,,,,,,
Sports Wear,10500,,,,,,,,,,,
Orthodontists,10446,,,,,,,,,,,
Golf,10328,,,,,,,,,,,
Patisserie/Cake Shop,10277,,,,,,,,,,,
Piercing,10232,,,,,,,,,,,
Boating,10173,,,,,,,,,,,
Bike Rentals,10084,,,,,,,,,,,
Lebanese,10029,,,,,,,,,,,
Pet Boarding,10016,,,,,,,,,,,
Peruvian,9964,,,,,,,,,,,
Tiki Bars,9915,,,,,,,,,,,
Laser Hair Removal,9899,,,,,,,,,,,
Hot Pot,9865,,,,,,,,,,,
Walking Tours,9722,,,,,,,,,,,
Endodontists,9697,,,,,,,,,,,
Parking,9638,,,,,,,,,,,
Spray Tanning,9615,,,,,,,,,,,
Distilleries,9586,,,,,,,,,,,
Chiropractors,9577,,,,,,,,,,,
Hobby Shops,9422,,,,,,,,,,,
Airport Shuttles,9360,,,,,,,,,,,
Wholesale Stores,9285,,,,,,,,,,,
Carpet Cleaning,9268,,,,,,,,,,,
Turkish,9183,,,,,,,,,,,
Kids Activities,9153,,,,,,,,,,,
Flooring,9150,,,,,,,,,,,
Adult Entertainment,9057,,,,,,,,,,,
Kebab,9036,,,,,,,,,,,
Toy Stores,8988,,,,,,,,,,,
Falafel,8936,,,,,,,,,,,
International Grocery,8908,,,,,,,,,,,
Beaches,8900,,,,,,,,,,,
Sports Clubs,8792,,,,,,,,,,,
Travel Services,8767,,,,,,,,,,,
Kosher,8762,,,,,,,,,,,
Junk Removal & Hauling,8734,,,,,,,,,,,
Outdoor Gear,8561,,,,,,,,,,,
Pharmacy,8528,,,,,,,,,,,
Electricians,8453,,,,,,,,,,,
Family Practice,8394,,,,,,,,,,,
Internet Cafes,8386,,,,,,,,,,,
Internet Service Providers,8295,,,,,,,,,,,
Pest Control,8255,,,,,,,,,,,
Hookah Bars,8216,,,,,,,,,,,
Interior Design,8163,,,,,,,,,,,
Botanical Gardens,8161,,,,,,,,,,,
Imported Food,8140,,,,,,,,,,,
Packing Services,8121,,,,,,,,,,,
Pediatric Dentists,7961,,,,,,,,,,,
Zoos,7926,,,,,,,,,,,
Banks & Credit Unions,7924,,,,,,,,,,,
Notaries,7820,,,,,,,,,,,
Public Markets,7818,,,,,,,,,,,
Stadiums & Arenas,7791,,,,,,,,,,,
Keys & Locksmiths,7727,,,,,,,,,,,
Couriers & Delivery Services,7709,,,,,,,,,,,
Diagnostic Services,7709,,,,,,,,,,,
Wheel & Rim Repair,7676,,,,,,,,,,,
Laotian,7618,,,,,,,,,,,
Bike Repair/Maintenance,7578,,,,,,,,,,,
Windows Installation,7450,,,,,,,,,,,
Physical Therapy,7444,,,,,,,,,,,
Real Estate Agents,7427,,,,,,,,,,,
Mobile Phone Accessories,7412,,,,,,,,,,,
African,7312,,,,,,,,,,,
Photographers,7303,,,,,,,,,,,
Limos,7282,,,,,,,,,,,
Basque,7247,,,,,,,,,,,
Dinner Theater,7234,,,,,,,,,,,
Tree Services,7210,,,,,,,,,,,
Windshield Installation & Repair,7209,,,,,,,,,,,
Photography Stores & Services,7148,,,,,,,,,,,
Gay Bars,7139,,,,,,,,,,,
Children's Clothing,7119,,,,,,,,,,,
Nutritionists,7080,,,,,,,,,,,
Acupuncture,7067,,,,,,,,,,,
Ophthalmologists,7001,,,,,,,,,,,
Ethiopian,6965,,,,,,,,,,,
Filipino,6784,,,,,,,,,,,
Taxis,6756,,,,,,,,,,,
Weight Loss Centers,6756,,,,,,,,,,,
Periodontists,6739,,,,,,,,,,,
Recreation Centers,6686,,,,,,,,,,,
Insurance,6640,,,,,,,,,,,
Office Cleaning,6565,,,,,,,,,,,
Playgrounds,6551,,,,,,,,,,,
Piano Bars,6547,,,,,,,,,,,
Escape Games,6537,,,,,,,,,,,
Belgian,6527,,,,,,,,,,,
Pool Halls,6512,,,,,,,,,,,
Jewelry Repair,6488,,,,,,,,,,,
Music & DVDs,6459,,,,,,,,,,,
Smog Check Stations,6450,,,,,,,,,,,
Hiking,6415,,,,,,,,,,,
Air Duct Cleaning,6411,,,,,,,,,,,
Vape Shops,6383,,,,,,,,,,,
Watches,6286,,,,,,,,,,,
Guns & Ammo,6276,,,,,,,,,,,
Comedy Clubs,6233,,,,,,,,,,,
Boat Charters,6223,,,,,,,,,,,
Airlines,6192,,,,,,,,,,,
Art Supplies,6133,,,,,,,,,,,
Shanghainese,6023,,,,,,,,,,,
Damage Restoration,6019,,,,,,,,,,,
Religious Organizations,6015,,,,,,,,,,,
Security Systems,6001,,,,,,,,,,,
Telecommunications,5977,,,,,,,,,,,
Art Museums,5883,,,,,,,,,,,
Cosmetic Surgeons,5863,,,,,,,,,,,
Dry Cleaning,5856,,,,,,,,,,,
Wine Tours,5809,,,,,,,,,,,
Swimming Pools,5791,,,,,,,,,,,
Boat Tours,5786,,,,,,,,,,,
Malaysian,5748,,,,,,,,,,,
Lighting Fixtures & Equipment,5713,,,,,,,,,,,
Argentine,5621,,,,,,,,,,,
Formal Wear,5596,,,,,,,,,,,
Boot Camps,5564,,,,,,,,,,,
Roofing,5536,,,,,,,,,,,
Dermatologists,5521,,,,,,,,,,,
Post Offices,5517,,,,,,,,,,,
Social Clubs,5503,,,,,,,,,,,
Carpeting,5490,,,,,,,,,,,
Painters,5488,,,,,,,,,,,
Cards & Stationery,5470,,,,,,,,,,,
Pilates,5415,,,,,,,,,,,
Party Supplies,5354,,,,,,,,,,,
Public Transportation,5342,,,,,,,,,,,
Obstetricians & Gynecologists,5314,,,,,,,,,,,
Souvenir Shops,5290,,,,,,,,,,,
Watch Repair,5286,,,,,,,,,,,
Garage Door Services,5262,,,,,,,,,,,
Handyman,5221,,,,,,,,,,,
Team Building Activities,5219,,,,,,,,,,,
Mailbox Centers,5196,,,,,,,,,,,
Mortgage Brokers,5185,,,,,,,,,,,
Persian/Iranian,5180,,,,,,,,,,,
Car Stereo Installation,5127,,,,,,,,,,,
Aquariums,5099,,,,,,,,,,,
Shoe Repair,5095,,,,,,,,,,,
Floral Designers,5067,,,,,,,,,,,
Auto Customization,5058,,,,,,,,,,,
Empanadas,4980,,,,,,,,,,,
Gun/Rifle Ranges,4945,,,,,,,,,,,
Auto Loan Providers,4944,,,,,,,,,,,
Dog Walkers,4938,,,,,,,,,,,
Pretzels,4907,,,,,,,,,,,
Threading Services,4906,,,,,,,,,,,
Home Inspectors,4844,,,,,,,,,,,
Car Window Tinting,4829,,,,,,,,,,,
Session Photography,4810,,,,,,,,,,,
Child Care & Day Care,4781,,,,,,,,,,,
Art Classes,4720,,,,,,,,,,,
Personal Chefs,4690,,,,,,,,,,,
Vinyl Records,4684,,,,,,,,,,,
Puerto Rican,4630,,,,,,,,,,,
Dog Parks,4519,,,,,,,,,,,
Baby Gear & Furniture,4512,,,,,,,,,,,
Office Equipment,4492,,,,,,,,,,,
Television Service Providers,4450,,,,,,,,,,,
Do-It-Yourself Food,4421,,,,,,,,,,,
Macarons,4402,,,,,,,,,,,
Moroccan,4390,,,,,,,,,,,
Motorcycle Dealers,4363,,,,,,,,,,,
Event Photography,4341,,,,,,,,,,,
Pet Adoption,4330,,,,,,,,,,,
Door Sales/Installation,4321,,,,,,,,,,,
Sports Medicine,4309,,,,,,,,,,,
Teppanyaki,4298,,,,,,,,,,,
Musical Instruments & Teachers,4258,,,,,,,,,,,
Iberian,4228,,,,,,,,,,,
Laboratory Testing,4212,,,,,,,,,,,
Vitamins & Supplements,4184,,,,,,,,,,,
Lawyers,4143,,,,,,,,,,,
Pop-Up Restaurants,4137,,,,,,,,,,,
Preschools,4115,,,,,,,,,,,
Masonry/Concrete,4102,,,,,,,,,,,
Mongolian,4098,,,,,,,,,,,
Rafting/Kayaking,4065,,,,,,,,,,,
Gutter Services,4058,,,,,,,,,,,
Cooking Classes,4048,,,,,,,,,,,
Pressure Washers,4044,,,,,,,,,,,
Shades & Blinds,4027,,,,,,,,,,,
Outlet Stores,3991,,,,,,,,,,,
Bus Tours,3946,,,,,,,,,,,
Gardeners,3942,,,,,,,,,,,
Head Shops,3864,,,,,,,,,,,
Cannabis Clinics,3855,,,,,,,,,,,
Packing Supplies,3849,,,,,,,,,,,
Vacation Rentals,3831,,,,,,,,,,,
Pool & Hot Tub Service,3829,,,,,,,,,,,
Izakaya,3818,,,,,,,,,,,
Eatertainment,3814,,,,,,,,,,,
Personal Shopping,3812,,,,,,,,,,,
Window Washing,3769,,,,,,,,,,,
Animal Shelters,3756,,,,,,,,,,,
Truck Rental,3747,,,,,,,,,,,
Summer Camps,3728,,,,,,,,,,,
Hot Tub & Pool,3717,,,,,,,,,,,
Fishing,3712,,,,,,,,,,,
Orthopedists,3695,,,,,,,,,,,
Internal Medicine,3695,,,,,,,,,,,
Supernatural Readings,3689,,,,,,,,,,,
Interval Training Gyms,3646,,,,,,,,,,,
Videos & Video Game Rental,3643,,,,,,,,,,,
Recycling Center,3607,,,,,,,,,,,
Motorcycle Repair,3585,,,,,,,,,,,
Churches,3574,,,,,,,,,,,
Farms,3562,,,,,,,,,,,
Graphic Design,3540,,,,,,,,,,,
Diagnostic Imaging,3505,,,,,,,,,,,
Traditional Chinese Medicine,3499,,,,,,,,,,,
Colombian,3489,,,,,,,,,,,
Laser Eye Surgery/Lasik,3483,,,,,,,,,,,
Colleges & Universities,3440,,,,,,,,,,,
Tiling,3438,,,,,,,,,,,
Glass & Mirrors,3416,,,,,,,,,,,
RV Dealers,3390,,,,,,,,,,,
Mass Media,3389,,,,,,,,,,,
Afghan,3379,,,,,,,,,,,
RV Repair,3368,,,,,,,,,,,
Pediatricians,3360,,,,,,,,,,,
RV Parks,3323,,,,,,,,,,,
Martial Arts,3295,,,,,,,,,,,
Salvadoran,3277,,,,,,,,,,,
Comic Books,3271,,,,,,,,,,,
Israeli,3262,,,,,,,,,,,
Arabic,3250,,,,,,,,,,,
Lingerie,3249,,,,,,,,,,,
Party Bus Rentals,3233,,,,,,,,,,,
Walk-in Clinics,3205,,,,,,,,,,,
Naturopathic/Holistic,3199,,,,,,,,,,,
Food Tours,3178,,,,,,,,,,,
Home Window Tinting,3168,,,,,,,,,,,
Reiki,3164,,,,,,,,,,,
Challenge Courses,3146,,,,,,,,,,,
Medical Supplies,3128,,,,,,,,,,,
Water Purification Services,3124,,,,,,,,,,,
Herbs & Spices,3119,,,,,,,,,,,
Siding,3082,,,,,,,,,,,
Party Equipment Rentals,3072,,,,,,,,,,,
Data Recovery,3064,,,,,,,,,,,
Skating Rinks,3061,,,,,,,,,,,
Cycling Classes,3053,,,,,,,,,,,
Barre Classes,3049,,,,,,,,,,,
Musical Instrument Services,3025,,,,,,,,,,,
Mini Golf,3022,,,,,,,,,,,
Counseling & Mental Health,3017,,,,,,,,,,,
Beer Tours,3003,,,,,,,,,,,
Venezuelan,3001,,,,,,,,,,,
Costumes,2979,,,,,,,,,,,
Landscape Architects,2977,,,,,,,,,,,
Scandinavian,2969,,,,,,,,,,,
Laundromat,2958,,,,,,,,,,,
Departments of Motor Vehicles,2946,,,,,,,,,,,
Irrigation,2945,,,,,,,,,,,
Beverage Store,2928,,,,,,,,,,,
Fabric Stores,2925,,,,,,,,,,,
Amateur Sports Teams,2913,,,,,,,,,,,
Home Organization,2905,,,,,,,,,,,
Fondue,2902,,,,,,,,,,,
Signmaking,2896,,,,,,,,,,,
Paint & Sip,2880,,,,,,,,,,,
Rugs,2871,,,,,,,,,,,
Elementary Schools,2851,,,,,,,,,,,
Cooking Schools,2829,,,,,,,,,,,
Cannabis Dispensaries,2820,,,,,,,,,,,
Emergency Pet Hospital,2817,,,,,,,,,,,
University Housing,2811,,,,,,,,,,,
Fences & Gates,2777,,,,,,,,,,,
Emergency Rooms,2774,,,,,,,,,,,
Paddleboarding,2759,,,,,,,,,,,
Russian,2753,,,,,,,,,,,
Polish,2732,,,,,,,,,,,
Campgrounds,2730,,,,,,,,,,,
Trampoline Parks,2725,,,,,,,,,,,
Roadside Assistance,2692,,,,,,,,,,,
Haunted Houses,2681,,,,,,,,,,,
Rehabilitation Center,2676,,,,,,,,,,,
Home Theatre Installation,2671,,,,,,,,,,,
Cardio Classes,2662,,,,,,,,,,,
Libraries,2655,,,,,,,,,,,
Pool Cleaners,2639,,,,,,,,,,,
Leather Goods,2631,,,,,,,,,,,
Financial Advising,2617,,,,,,,,,,,
Armenian,2592,,,,,,,,,,,
Himalayan/Nepalese,2581,,,,,,,,,,,
Funeral Services & Cemeteries,2528,,,,,,,,,,,
Framing,2527,,,,,,,,,,,
Water Parks,2523,,,,,,,,,,,
Tanning Beds,2516,,,,,,,,,,,
Propane,2513,,,,,,,,,,,
Auto Insurance,2511,,,,,,,,,,,
Shared Office Spaces,2510,,,,,,,,,,,
Lawn Services,2507,,,,,,,,,,,
Speakeasies,2474,,,,,,,,,,,
Indonesian,2472,,,,,,,,,,,
Mortgage Lenders,2455,,,,,,,,,,,
Dance Studios,2449,,,,,,,,,,,
Spiritual Shop,2442,,,,,,,,,,,
Champagne Bars,2438,,,,,,,,,,,
Cabinetry,2435,,,,,,,,,,,
Furniture Reupholstery,2414,,,,,,,,,,,
Flea Markets,2414,,,,,,,,,,,
Climbing,2403,,,,,,,,,,,
Musicians,2395,,,,,,,,,,,
Outdoor Furniture Stores,2394,,,,,,,,,,,
Cosmetology Schools,2388,,,,,,,,,,,
Utilities,2387,,,,,,,,,,,
Professional Sports Teams,2374,,,,,,,,,,,
Educational Services,2360,,,,,,,,,,,
RV Rental,2319,,,,,,,,,,,
Car Buyers,2299,,,,,,,,,,,
DJs,2298,,,,,,,,,,,
Cafeteria,2296,,,,,,,,,,,
Country Clubs,2278,,,,,,,,,,,
Teeth Whitening,2276,,,,,,,,,,,
Children's Museums,2261,,,,,,,,,,,
Body Contouring,2259,,,,,,,,,,,
Tabletop Games,2226,,,,,,,,,,,
Bistros,2194,,,,,,,,,,,
Cambodian,2191,,,,,,,,,,,
Cultural Center,2168,,,,,,,,,,,
Adult Education,2152,,,,,,,,,,,
Snow Removal,2149,,,,,,,,,,,
Tattoo Removal,2141,,,,,,,,,,,
Knitting Supplies,2131,,,,,,,,,,,
Tennis,2116,,,,,,,,,,,
Portuguese,2098,,,,,,,,,,,
Bespoke Clothing,2089,,,,,,,,,,,
Carpet Installation,2072,,,,,,,,,,,
Hunting & Fishing Supplies,2068,,,,,,,,,,,
Refinishing Services,2066,,,,,,,,,,,
Art Schools,2053,,,,,,,,,,,
Marketing,2042,,,,,,,,,,,
Grout Services,2040,,,,,,,,,,,
Candle Stores,2031,,,,,,,,,,,
Horseback Riding,2021,,,,,,,,,,,
Plus Size Fashion,2017,,,,,,,,,,,
Adult,2014,,,,,,,,,,,
Syrian,1998,,,,,,,,,,,
Countertop Installation,1996,,,,,,,,,,,
Art Tours,1985,,,,,,,,,,,
Commercial Real Estate,1971,,,,,,,,,,,
Dominican,1964,,,,,,,,,,,
Motorcycle Gear,1964,,,,,,,,,,,
Home Automation,1946,,,,,,,,,,,
Kombucha,1944,,,,,,,,,,,
Wigs,1940,,,,,,,,,,,
Boxing,1920,,,,,,,,,,,
Drywall Installation & Repair,1919,,,,,,,,,,,
Septic Services,1907,,,,,,,,,,,
Life Coach,1894,,,,,,,,,,,
Gold Buyers,1894,,,,,,,,,,,
Axe Throwing,1874,,,,,,,,,,,
Surgeons,1870,,,,,,,,,,,
Solar Installation,1859,,,,,,,,,,,
