BUSINESS_ID,NAME,TOTAL_REVIEWS,AVG (R.STARS),,,,,,,,,
U3grYFIeu6RgAAQgdriHww,Brophy Bros - Santa Barbara,3003,4.062937,,,,,,,,,
6ajnOk0GcY9xbb5Ocaw8Gw,Barbuzzo,2974,4.26698,,,,,,,,,
3YqUe2FTCQr0pPVK8oCv6Q,Columbia Restaurant,2916,3.951989,,,,,,,,,
C9K3579SJgLPp0oAOM29wg,Peg Leg Porker,2909,4.344792,,,,,,,,,
j-qtdD55OLfSqfsWuQTDJg,Parc,2884,4.146671,,,,,,,,,
oIH5YWPy_g61YXM6R900Wg,Puckett's Grocery & Restaurant,2794,3.890838,,,,,,,,,
ww3YJXu5c18aGZXWmm00qg,Café Amelie,2790,4.246595,,,,,,,,,
AGlh4ZDv6jnoiYfz7At9mw,Dim Sum Garden,2778,3.884449,,,,,,,,,
sTPueJEwcRDj7ZJmG7okYA,Jim's South St,2769,3.74359,,,,,,,,,
0RuvlgTnKFbX3IK0ZOOocA,Green Eggs Café,2733,4.015734,,,,,,,,,
RQAF6a0akMiot5lZZnMNNw,Dalessandro’s Steaks & Hoagies,2725,4.206972,,,,,,,,,
Y2Pfil51rNvTd_lFHwzb_g,Cafe Beignet on Royal Street,2722,3.800147,,,,,,,,,
PY9GRfzr4nTZeINf346QOw,Peppermill Reno,2715,3.750276,,,,,,,,,
xlMQBBt9wrtahdqiRDcVSg,The Stillery,2618,4.449962,,,,,,,,,
skY6r8WAkYqpV7_TxNm23w,Boathouse at Hendry's Beach,2588,4.034776,,,,,,,,,
8pqdJjefYq-a9IBSJJmKwA,The Dandelion,2577,4.214591,,,,,,,,,
J0joPXxmN-_9Lzafspqdbw,Peg's Glorified Ham N Eggs,2552,4.314263,,,,,,,,,
RLlOK2fL6xU1sfIPiP2QBw,Deanie's Seafood,2514,3.659109,,,,,,,,,
9xdXS7jtWjCVzL4_oPGv9A,GW Fins,2502,4.567546,,,,,,,,,
OWOOc0YjU_kioLeEgo5VCA,Loveless Cafe,2480,4.293548,,,,,,,,,
ChlcxTEoWBQJXJ2Xb2vm5g,NOLA Restaurant,2450,3.917551,,,,,,,,,
mhrW9O0O5hXGXGnEYBVoag,Jacques-Imo's Cafe,2449,4.362189,,,,,,,,,
SZU9c8V2GuREDN5KgyHFJw,Santa Barbara Shellfish Company,2444,3.91162,,,,,,,,,
EagkHaaC-kUozD3MPzbRIw,Stanley,2440,3.888934,,,,,,,,,
6Ty-KKWq6hLZYW8DWEHYvg,Pat O'Brien’s,2396,3.936561,,,,,,,,,
6Pu5MKIWbn6FO-oebSSrYQ,The Southern Steak & Oyster,2339,4.104318,,,,,,,,,
DXDoh8MNrqjtXsZnkuk4hA,Frenchy's Rockaway Grill,2335,3.985439,,,,,,,,,
UFCN0bYdHroPKu6KV5CJqg,The Eagle,2312,4.471453,,,,,,,,,
ntiIq1FNqduOyyowMFGh5A,Nan Zhou Hand Drawn Noodle House,2255,4.205765,,,,,,,,,
IWHdx0NhDKADkGOgXgOFKQ,Tommy DiNic's,2245,4.063697,,,,,,,,,
OdIBX09glfXNVSyd0RnIeg,Monk's Cafe,2241,4.013387,,,,,,,,,
3iUCCf1FWmjlFbGYvBgf9w,Martin's Bar-B-Que Joint,2240,4.056696,,,,,,,,,
#NAME?,Philadelphia International Airport - PHL,2235,2.558389,,,,,,,,,
UCMSWPqzXjd7QHq7v8PJjQ,Prep & Pastry,2230,4.39148,,,,,,,,,
TcNZXteosegb1RO4O5hREw,Parkway Bakery & Tavern,2223,4.465137,,,,,,,,,
BjeHLwKOlHyV6DJgmZxAjA,Jimmy J's Cafe,2178,4.202479,,,,,,,,,
PGd06nrseC2YAIqP6S9gUA,Ruby Slipper Cafe,2176,4.183364,,,,,,,,,
iRIHK8-EwpeffwvoO4nzIA,Broadway Oyster Bar,2170,4.382488,,,,,,,,,
S8ZFYEgMejpChID8tzKo9A,Amada,2162,4.1716,,,,,,,,,
vN6v8m4DO45Z4pp8yxxF_w,Surrey's Café & Juice Bar,2120,4.460849,,,,,,,,,
W4ZEKkva9HpAdZG88juwyQ,Mr. B's Bistro,2116,4.192817,,,,,,,,,
8uF-bhJFgT4Tn6DTb27viA,District Donuts Sliders Brew,2110,4.378199,,,,,,,,,
qQO7ErS_RAN4Vs1uX0L55Q,The Franklin Fountain,2100,4.147619,,,,,,,,,
pSmOH4a3HNNpYM82J5ycLA,The Pancake Pantry,2091,3.997609,,,,,,,,,
75FY8ZQx5nOWP0VFmNvWfw,Atchafalaya Restaurant,2083,4.421027,,,,,,,,,
ReV4Q3rEJ8neicQPc6pC0w,St. Elmo Steak House,2079,4.155363,,,,,,,,,
kZ1q0K13tFYG_ZJrVvsJHA,Sampan,2076,4.083815,,,,,,,,,
gVU0U7gNBMQxKTzqmRtdLg,Merchants,2067,4.194001,,,,,,,,,
iwmW2mgcn2YdirXUHCsgXQ,Bourbon House,2064,3.58188,,,,,,,,,
hfbZ97Te3T4jeWN6GgsGrQ,Willa Jean,2050,4.246829,,,,,,,,,
2BMk_drsikKWslJCXmQtjQ,Rooster - Downtown,2023,3.807217,,,,,,,,,
c-iKAO2GBzSKjm7y1Oljcw,Red Fish Grill,2018,4.040139,,,,,,,,,
Zi-F-YvyVOK0k5QD7lrLOg,Muriel's Jackson Square,2008,4.2251,,,,,,,,,
Vz2RN55rTJBGn43K1v84nA,Domenica,1974,4.134245,,,,,,,,,
i_FWONQD1ZBqrNE2b-M5Ug,Talula's Garden,1964,4.446538,,,,,,,,,
V9VLhHdSFpFi4yXFqVcVEA,Pêche,1956,4.235174,,,,,,,,,
q-zV08jt6U-q05SMEuQJAQ,The Original Tony Lukes,1952,3.878074,,,,,,,,,
6_T2xzR74JqGCTPefAD8Tw,Morimoto,1943,4.282553,,,,,,,,,
p_qSQwShIgQnNxGcajI4-w,Oxford Exchange,1938,4.270898,,,,,,,,,
2OXCAbz3x_MrQSYj1zarIA,Pinewood Social,1937,4.10222,,,,,,,,,
U4X-tzwvTzW8uWxs2KIPtg,The Original Pierre Maspero's,1915,4.086684,,,,,,,,,
c_4c5rJECZSfNgFj7frwHQ,Tampa International Airport,1896,4.222574,,,,,,,,,
FEXhWNCMkv22qG04E83Qjg,Café Du Monde,1894,4.088701,,,,,,,,,
g04aAvgol7IW8buqSbT4xA,Cafe Fleur De Lis,1891,3.847171,,,,,,,,,
jbJTF1zVmZsk4hea8hoeVA,Fork,1872,4.214744,,,,,,,,,
Ps7Q7BOKzJO4nDTUhbk43Q,Clear Sky Cafe,1869,4.331728,,,,,,,,,
GuzbBFraIq-fbkjfvaTRvg,Mesa Verde,1862,4.679914,,,,,,,,,
Eb1XmmLWyt_way5NNZ7-Pw,Louis Armstrong New Orleans International Airport  MSY,1850,2.975135,,,,,,,,,
e5fCI12X_GLCST668S4ROA,The Court of Two Sisters,1845,3.497561,,,,,,,,,
#NAME?,Palace Café,1841,3.938077,,,,,,,,,
fCDMLD21ypv1XZ_EyafCkQ,Bodega,1812,4.556291,,,,,,,,,
n_fUROdhfmLwd_mpBi55ew,Central Grocery & Deli,1810,4.265746,,,,,,,,,
6RBZfirnzE4NahJTn1UPNA,La Super-Rica Taqueria,1802,4.005549,,,,,,,,,
R8t9g5nvi7VFyS8zsgmj8Q,Salt + Smoke,1788,4.277405,,,,,,,,,
cQIh4YJlVtZI9TLF5_smOg,The Shaved Duck,1781,4.311623,,,,,,,,,
Zx7n8mdt8OzLRXVzolXNhQ,Milk and Honey Nashville,1761,4.078932,,,,,,,,,
iUZEGx29miZObLd6_lt7Vg,Sabrina's Café,1760,4.142614,,,,,,,,,
Sv1MEZP-mMfp8SmE0hwYEA,Terakawa Ramen,1753,4.254421,,,,,,,,,
GST3wg-wej15vHeCvaXE6w,Acme Feed & Seed,1749,3.895369,,,,,,,,,
t9LiapsQABwMQeiF1Czl6w,Port Of Call,1739,4.020702,,,,,,,,,
WxB8498ejPtHE7wFa89_fA,The Continental Mid-town,1732,3.688222,,,,,,,,,
#NAME?,Sonny's Famous Steaks,1716,3.952797,,,,,,,,,
8UPv1p9GW-BiZtQqUt8nOA,Neyow's Creole Cafe,1706,4.063892,,,,,,,,,
vWjME92WddneF98IqzaNfQ,Sugarfire Smoke House,1705,4.290323,,,,,,,,,
S_jfDqc2TUhkraTpeZgqjg,Bakersfield,1689,4.294257,,,,,,,,,
yz0KWVamNhqiZGz7XTClzg,SoBou,1672,3.940789,,,,,,,,,
ORL4JE6tz3rJxVqkdKfegA,Gaylord Opryland Resort & Convention Center,1670,3.05509,,,,,,,,,
teFjQxUqT8c-yxQdoILDVQ,Nada,1663,4.283824,,,,,,,,,
8yR12PNSMo6FBYx1u5KPlw,Bru Burger Bar - Indianapolis,1658,4.22497,,,,,,,,,
ve_-rPlEGPClytyJtY55Vw,Nugget Casino Resort,1653,2.258318,,,,,,,,,
7Iv-6B0EH-yVo5o_VnykWw,The National WWII Museum,1650,4.649697,,,,,,,,,
u7uFQCoHFtBKCtbWUm6yZw,Emeril's ,1635,4.064832,,,,,,,,,
WXgV2lOUgas7DzTLeDau-w,The Rum House,1631,4.213366,,,,,,,,,
#NAME?,Superior Seafood & Oyster Bar,1627,4.127228,,,,,,,,,
ku8cAVBLaF_4rI-yK6gNnQ,Brennan's,1622,4.172626,,,,,,,,,
qclZoDz3sjT7v5xOSj5P2Q,Lafitte's Blacksmith Shop Bar,1621,4.0876,,,,,,,,,
ld_H5-FpZOWm_tkzwkPYQQ,Silver Legacy Resort Casino,1620,2.830864,,,,,,,,,
PlaECqs3oPBRo47p85zkzw,Party Fowl - The Gulch,1620,4.070988,,,,,,,,,
LZzDvgfpkd4nI3E4L9wF1w,El Charro Cafe,1617,3.565863,,,,,,,,,
M0r9lUn2gLFYgIwIfG8-bQ,Baileys' Range,1614,3.636307,,,,,,,,,
S2Ho8yLxhKAa26pBAm6rxA,Creole House Restaurant & Oyster Bar,1611,3.826195,,,,,,,,,
LM54ufrINJWoTN5imV8Etw,John's Roast Pork,1609,4.333748,,,,,,,,,
EtKSTHV5Qx_Q7Aur9o4kQQ,Village Whiskey,1603,3.938241,,,,,,,,,
nIAbuktMEzVjT4P9pG89rQ,Buddakan,1593,4.072819,,,,,,,,,
4SRl5od0lY33oK1GMbA23A,Husk,1593,3.929692,,,,,,,,,
EtM079Cj7-B3G7jPsGYb_Q,Sandbar,1590,3.724528,,,,,,,,,
Jzb2IQSwPfULWzdl9Bq5fg,Monell's Dining & Catering,1584,4.612374,,,,,,,,,
7pwFfnB6FH4lflXWrQ2Tqw,Jack's Bar-B-Que,1584,3.757576,,,,,,,,,
2KIDQyTh-HzLxOUEDqtDBg,Mazzaro's Italian Market,1583,4.641188,,,,,,,,,
oGDGlUbOjHxmmCh8ZYcDCg,The Lark,1562,4.179898,,,,,,,,,
znlrxrY4InSx7ekPZxoHRw,McConnell's Fine Ice Creams,1553,4.569221,,,,,,,,,
Gb5nFcTgOBWeMrmCIbxqJA,Two Chicks,1549,4.253712,,,,,,,,,
qISf5ojuYbD9h71NumGUQA,Han Dynasty,1543,4.109527,,,,,,,,,
edJoBsse6nsF0BYh6pATAg,The Palace Grill,1536,4.261068,,,,,,,,,
3Wy21heeDm8h2tSZfcj6OA,Lure Fish House,1534,4.394394,,,,,,,,,
9w-LZEkP1hf363G-OYvKDg,Mas Tacos Por Favor,1534,4.417862,,,,,,,,,
K7KHmHzxNwzqiijSJeKe_A,Cafe La Maude,1530,4.633333,,,,,,,,,
KXecZki-_3N7afs6HKWM3A,Ichicoro Ramen,1513,4.042961,,,,,,,,,
nk96iwJV1_p2HECYQW1ysA,French Quarter Phantoms,1499,4.711808,,,,,,,,,
rgeuy1qbw6Z8B6CSVANHIA,Federal Donuts,1497,4.136941,,,,,,,,,
2CDI713ATuxHfnB5b-sBdw,Vedge,1492,4.481233,,,,,,,,,
tthy48ZIX_wfY8Dy0Dvg6w,Bouchon,1487,4.395427,,,,,,,,,
24f-qQokEN2UvBNHMWLm3A,Antoine's Restaurant,1485,3.290236,,,,,,,,,
dGUyXgFW1WSYMgRypKaYew,The Row,1485,3.905724,,,,,,,,,
RqW9S4WG9UYZHKhHRHXJZg,Lolis Mexican Cravings,1479,4.622718,,,,,,,,,
l4IeGBHXV2E8S8COd9rx9A,Rusty Bellies,1477,4.339878,,,,,,,,,
4szMVHmGXodrVGw4Zhev9g,Bartaco,1476,4.385501,,,,,,,,,
poviu-6n3iaRE4gdQz6OYw,Oyster House,1471,4.218899,,,,,,,,,
Bj7DL3SwmYHZYqPduAsa2w,Johnny's Po-Boys,1465,3.691468,,,,,,,,,
cGX-1IUwXOjkUqZbkKYcjw,Fogo de Chao,1459,4.141878,,,,,,,,,
nYsNsyIppe_DTueBha1x9A,Red Mesa Cantina,1458,4.032922,,,,,,,,,
2DTkzhmMpv5fIPKheePClA,Shaya,1457,4.504461,,,,,,,,,
TV81bpCQ6p6o4Hau5hk-zw,Hellas Restaurant,1456,4.293269,,,,,,,,,
8NyDM-FDoWEEeEG9XUwnbg,K-Paul's Louisiana Kitchen,1456,4.136676,,,,,,,,,
NHb6QTrJOnyIj-Zd0fYzFg,Bogart's Smokehouse,1453,4.642808,,,,,,,,,
3WU1ZobAqXQ07xYoKE2Vyg,Daisy Dukes - French Quarter,1452,3.597796,,,,,,,,,
8A5LSwsKK5vXDH1M3_Tf1w,"The Ritz-Carlton Bacara, Santa Barbara",1449,3.608696,,,,,,,,,
cXSyVvOr9YRN9diDkaWs0Q,Honey's Sit-N-Eat,1444,4.226454,,,,,,,,,
cE_gYW3CHEducTkEyxTDdA,Bartaco,1437,4.115518,,,,,,,,,
#NAME?,Finch & Fork,1434,4.204324,,,,,,,,,
LdECsE8lJS7v5GTFTcjPSg,Crabby Bill's Seafood,1426,3.755259,,,,,,,,,
nRKndeZLQ3eDL10UMwS2rQ,Ted Drewes,1424,4.478933,,,,,,,,,
S2n_06z4lGLZfdJ53XAXQQ,Etch,1422,4.521097,,,,,,,,,
EQ-TZ2eeD_E0BHuvoaeG5Q,Milktooth,1421,4.158339,,,,,,,,,
59-56qbtgwGigLNNsZiVZQ,Snapper's Sea Grill,1414,4.342291,,,,,,,,,
ta5Oi3sezvn4H299MbtE8Q,The Carousel Bar & Lounge,1411,4.075833,,,,,,,,,
atZ_olNKXOG4rEr6mccN8g,Beiler's Bakery,1406,4.633001,,,,,,,,,
1Vo4BLw75ntATAJHYsxO3g,Whiskey Joe's Bar & Grill - Tampa,1399,3.047891,,,,,,,,,
bp5Mk2d0qofUeF5uLauIbg,Chef Ron's Gumbo Stop,1391,4.422717,,,,,,,,,
jkGQQ4_LgJx3hwPtCFkzbQ,Max Brenner - Philadelphia,1382,3.3589,,,,,,,,,
8YDJraW_cg5IPTPisPfB-A,City Museum,1380,4.581884,,,,,,,,,
IZZ_uR2ps5KuuyE0n--jVA,Elizabeth's Restaurant,1379,3.986222,,,,,,,,,
UGefDZNmnBztS0eoXWtHyQ,The Joint,1359,4.352465,,,,,,,,,
AFYI0sfZ6WdVELjjEYOIpw,Busch Gardens Tampa Bay,1359,3.417219,,,,,,,,,
zZ01WQlcpI1_n806WKV3bA,Culinary Dropout,1355,3.884871,,,,,,,,,
FaY_9x8ZtsuHe5wS2iJM1Q,Verti Marte,1354,4.20384,,,,,,,,,
UeYZgcORV2Veo_BZzdiaTg,Napoleon House,1354,3.963811,,,,,,,,,
R17gwW6zn9ilslbdvKdgsg,Alma de Cuba,1354,4.192024,,,,,,,,,
16tjKOvMw_nOgNViq2LwOQ,Hattie B's Hot Chicken - Nashville West,1352,4.481509,,,,,,,,,
I3Uy20BKx7G-Fzz6hLIeWg,Restaurant August,1350,4.447407,,,,,,,,,
pXRrRf8fDv6yU3xp1E25hA,Bud & Marilyn's,1347,4.207127,,,,,,,,,
ZKPrXH_GNW_AtZ31tP3NmA,White Dog Cafe,1337,3.787584,,,,,,,,,
1jeaxiZOisgDMxHR2K088g,Guppys on the Beach,1334,4.412294,,,,,,,,,
pym7c6ZFEtmoH16xN2ApBg,Katie's Restaurant & Bar,1333,4.259565,,,,,,,,,
tV46IhCfHbsx_af-pMupiw,Cafe Poca Cosa,1331,3.958678,,,,,,,,,
quk6TFDQyuQ4g0KuIb9qUA,Five Points Pizza,1330,4.510526,,,,,,,,,
0oSSjekU-3GR8gselReWnA,Butcher and Singer,1330,4.354887,,,,,,,,,
BbnL_wJLB-EHvFx0dXuAjg,Olde Nola Cookery,1329,4.057186,,,,,,,,,
muxda1cSVtplETqTfYVgZA,HUB Restaurant & Ice Creamery,1329,3.921746,,,,,,,,,
lEi0T3m96A2NXXDSn7569A,Wild River Grille,1329,4.115877,,,,,,,,,
hExi86DTBlmIhB2FLvqrHg,On Swann,1328,4.528614,,,,,,,,,
jxEMFqwDJXjCxmcm5t5jVQ,Cleavers,1324,4.20997,,,,,,,,,
w9grvGu-5bHNucOeReHzfA,Urban Grub,1323,4.108088,,,,,,,,,
EME5hqQLjBD7e2cLryupbA,Mr Ed's Oyster Bar - Bienville,1320,4.377273,,,,,,,,,
Iw8uqNPxviwcgxtruAx_LA,Good Dog Bar,1319,3.83624,,,,,,,,,
0d1dpaZqcm7litFOJl7atA,Noble Crust,1315,4.372624,,,,,,,,,
hy-E7DdXbdgTbwphKUYW1w,Haunted History Tours,1314,4.155251,,,,,,,,,
4_OXOjAUA9Q8L6VdZz692w,Naan & Kabab,1308,4.163609,,,,,,,,,
XuQ5ekbJ9eRUX06JTqJHaQ,The Mill Restaurant,1302,4.259601,,,,,,,,,
Rl42JbSMsmNW3LRjsTMYAg,Freebirds,1296,4.058642,,,,,,,,,
9HvjjSwxxubIhG6E_sObfQ,NOLA Poboys,1296,3.959877,,,,,,,,,
#NAME?,Atlantis Casino Resort Spa,1295,3.372201,,,,,,,,,
GoYSJ-YY-YwbxdgasHuq-Q,Mixto,1295,3.853282,,,,,,,,,
FEBwxZMEpxRwVXx9Fm0XZw,Chad's,1294,3.897218,,,,,,,,,
rSYyGcZZziJLsqKl5hMcDw,Circus Circus Reno,1292,2.728328,,,,,,,,,
QaFbv7aLQBcfT4xMF1_WnQ,Rockfire Grill,1290,4.479845,,,,,,,,,
I_mCFePUG2MGuH-zuws7bA,Great Full Gardens-Midtown,1284,4.484424,,,,,,,,,
ReX09lhufLTAx19krkltDA,Fido,1284,4.007009,,,,,,,,,
TDKBPcViJQDMrdUm6a9XZA,The Depot Craft Brewery Distillery,1282,3.984399,,,,,,,,,
qY-BUQY-SFBaSrFHowF3nA,Nine Ting,1274,3.988226,,,,,,,,,
WSx9-iYYyST_umny9sJBFg,The Parish,1253,4.363927,,,,,,,,,
#NAME?,New Orleans Creole Cookery,1252,3.653355,,,,,,,,,
9cu2p2Z925hHkWHVyrp1JQ,Hawkers Asian Street Food,1251,3.942446,,,,,,,,,
ltBBYdNzkeKdCNPDAsxwAA,Tavern,1247,3.888532,,,,,,,,,
fVUurZgbWXzp2QzDzJzmpA,Pickles & Swiss,1246,4.484751,,,,,,,,,
9ugpNKKhnYRa51qXoxUw_A,Lilly's Tacos,1246,4.432584,,,,,,,,,
Z_WZq3uFGqvtjsFl6kNBQA,Campo,1243,3.612228,,,,,,,,,
g-YOzV9YIPmo6vZBHQuuUg,Bakersfield,1239,4.468927,,,,,,,,,
SJIQFKTW6uUsOo29w9IHxw,Mambo's,1233,4.240876,,,,,,,,,
GmXC3CBu172Bkb0c6RnO7w,Restaurant R'evolution,1231,4.360682,,,,,,,,,
EQP8f7Rq5KXknJixlwxZEw,Salt Rock Grill,1230,3.943089,,,,,,,,,
DKtAKuOjI6vUAHhW4NR5UA,Mulate's,1225,3.14449,,,,,,,,,
TwnzM8mJn_nT2PJf1x-9kQ,Cafe Lift,1225,4.182857,,,,,,,,,
JHRlwxxKY0JJcU97rJ-Bug,Cuba Libre Restaurant & Rum Bar - Philadelphia,1225,3.725714,,,,,,,,,
CgiwCrXs3Ggu9eKFPIgjtA,Conch Republic Grill,1223,3.985282,,,,,,,,,
UUpwoAAZcJyUWOqp81_3mA,Cajun Encounters Tour Company,1221,4.288288,,,,,,,,,
4YoVUmkpUBNtdYa804Wzvg,The Patterson House,1219,4.407711,,,,,,,,,
aUoMG97DMJG4nmwhT6z1zA,Devon Seafood Grill,1219,3.648072,,,,,,,,,
Bxmhm659VqrQYHc0hiku5w,Eddie & Sam's NY Pizza,1215,4.306173,,,,,,,,,
uYMVRPYEqpmVXWN2xOs5KQ,Cooper's Hawk Winery & Restaurants - Tampa,1213,4.124485,,,,,,,,,
1Efjww8n7WtKtKTgDqjgdA,Founding Farmers King of Prussia,1213,3.333883,,,,,,,,,
H26zRyQkXXYzUZUOtppFcA,Green Lemon,1209,4.25641,,,,,,,,,
K3RURR9lIEE4JjOaPt99zg,Sabrina's Café,1203,4.175395,,,,,,,,,
26jYcdFR5oLqKDKpTH0JIQ,Drago's Seafood Restaurant,1196,4.120401,,,,,,,,,
mcr1lAEdvGLMJhuPwI3I2A,101 Taiwanese Cuisine,1188,4.012626,,,,,,,,,
8kh6Z3c8UHQKmsy0_TbOnA,Carmo,1188,4.400673,,,,,,,,,
9f5GXEeTvBWnrZ-AHEjgJQ,The Original Crabby Bills,1188,3.868687,,,,,,,,,
uZYBF0YTU_iKq4_L_PDtMQ,Zaytoon,1187,4.173547,,,,,,,,,
Ipkx4Sa7ybn8C6LtTqTztw,Double Knot,1185,4.291139,,,,,,,,,
EYw42-YsnMr0pbqM5YXRxw,Engine No 9,1182,4.400169,,,,,,,,,
#NAME?,Gran Caffe L'Aquila,1182,4.317259,,,,,,,,,
30cpm1uq6xcQCmN6JTrB8w,Luke's Lobster Rittenhouse,1182,4.285956,,,,,,,,,
5oX4G1cptixPZecih9L3dg,Daily Eats,1182,4.182741,,,,,,,,,
jMZ56S8Y1t7cA1Ob-d-qeA,Three Muses,1178,4.171477,,,,,,,,,
j8JOZvfeHEfUWq3gEz6ABQ,Bacchanal Fine Wine & Spirits,1178,4.443973,,,,,,,,,
gzMlFR9ViVCr_HUYPgqqVg,Sylvain,1171,4.158839,,,,,,,,,
_zzNQl6ImFw_B64cSdaoGA,Seabreeze Island Grill,1169,4.112062,,,,,,,,,
E7RtIisUoRMcADSebBgNAA,Santa Barbara FisHouse,1169,3.688623,,,,,,,,,
4R2KR_-FybS7oegGrXjHVg,Del Frisco's Double Eagle Steakhouse,1169,3.796407,,,,,,,,,
d_tRshM-w6S4QxE4VVi8tQ,Jones,1168,3.662671,,,,,,,,,
lKU_kljhbEQKIPaM1Zbqiw,Little Nonna's,1165,4.142489,,,,,,,,,
iksVwRfpWymIUUFqw0tXpw,Chubby Cattle,1159,4.509922,,,,,,,,,
vUrTGX_7HxqeoQ_6QCVz6g,Suraya,1157,4.458946,,,,,,,,,
eaDZlSuVS0EY67Ke6pRP6Q,Penang,1153,3.717259,,,,,,,,,
Rv8bW3pkzpi5dZu5ckbgtA,Guadalajara Original Grill,1153,3.861232,,,,,,,,,
a32M9H9nkkPGKTKB5W27NA,Enterprise Fish,1151,3.703736,,,,,,,,,
_0QZGrg91aaiMhh7tQyYYg,Jacksons Bistro Bar & Sushi,1146,3.374346,,,,,,,,,
_78Lam9Jd0W6ZmnHTvdjMg,Armature Works,1142,4.355517,,,,,,,,,
oQ5CPRt0R3AzFvcjNOqB1w,Edley's Bar-B-Que - 12 South,1138,4.02812,,,,,,,,,
3SM8CZuY5MiAruczCm556w,Barbacoa Grill,1136,4.225352,,,,,,,,,
-0TffRSXXIlBYVbb5AwfTg,IndeBlue Modern Indian Food & Spirits,1132,4.355124,,,,,,,,,
WCdSajl5Q0qywpv7K5jHdQ,Sugarfire Smoke House,1130,4.218584,,,,,,,,,
h7TO_IsmLCYmKKDVOOIeFw,Fat Salmon,1130,4.265487,,,,,,,,,
hyeo7JQr5uLp-St1MibYAA,Baja Cafe,1130,4.585841,,,,,,,,,
kVTHnhgYUw-Pmr7wgDB4_g,Distrito,1127,3.724046,,,,,,,,,
Ss6f5v_t5Vddiaz4ZOxL0g,Andersen's Danish Bakery & Restaurant,1127,3.889973,,,,,,,,,
pWuoHHu0LuVrD0HjadDygg,The Stone House Cafe,1126,3.413854,,,,,,,,,
Meww6RIE4cFL_kG0aRlbAA,Blue Oak BBQ,1126,4.381883,,,,,,,,,
AlH5V97JSAu7AL_xdibMIg,Bahama Breeze,1125,3.691556,,,,,,,,,
SYHDOHRNAH-2xsw3XB5qbg,The Shop Kitchen,1125,4.298667,,,,,,,,,
Ih6_y2nnbg2Jw9Qdc876GA,Cafe Patachou,1122,4.244207,,,,,,,,,
4gszBjoouIzfi1ltSQZ2BQ,Tampa Bay Brewing Company,1118,4.09839,,,,,,,,,
