CITY,BUSINESS_ID,NAME,TOTAL_REVIEWS,RN,,,,,,,
O'Fallon,I8n5N-GsqvyGG62ug1TrRQ,Bella Milano,169,4,,,,,,,
O'Fallon,dmb-LM_EtUB9cY-SsjH0LQ,La Casa Mexicana O'fallon,159,5,,,,,,,
Sappington,eQlMjyOsirwFCH8CiaKrjw,Fitz's SoCo,145,1,,,,,,,
Sappington,3LSYzek9a1Xho8uPEFe29w,Outback Steakhouse,138,2,,,,,,,
Sappington,MaaDRJZKSUTAJeF6OTQRnA,J's Pitaria,69,3,,,,,,,
Sappington,Jewwy3ftup5Lpb7pHUgSmg,Fuego's Pizza,18,4,,,,,,,
Sappington,DiRs7aNuRRRQNOtK4z8YHg,Viva Nails,16,5,,,,,,,
langhorne,EV-8pmvnt5UnmxvWljvapA,New Jersey Urology,16,1,,,,,,,
Jefferson,J88JV53EPyDjj7lT0Cm9wA,Copeland's of New Orleans,265,1,,,,,,,
Jefferson,prATCkHZzIXFvOzCuRi-TA,Rivershack Tavern,200,2,,,,,,,
Jefferson,ey2F1-Vh60vczNAk0kEnFQ,District Donuts Sliders Brew,171,3,,,,,,,
Jefferson,UO3Sp2fogKGkqo_NkPxHGQ,Blue Tomato,158,4,,,,,,,
Jefferson,lItMh_MFnh9Bf2m1m9wN-g,Hippie Kitchen,154,5,,,,,,,
Pottstown,EnZGNF1dcJDtvTfmGi7eRw,Philadelphia Premium Outlets,209,1,,,,,,,
Pottstown,-3IOd5YntpkbK6RwT3HYtA,Ice House Steaks & Pizza,188,2,,,,,,,
Pottstown,V66EXhrxKanesMhoOqsORw,Shorty's Sunflower Cafe,180,3,,,,,,,
Pottstown,Bq69zDUTbBrfmtB9OBH9uA,Grumpy's Handcarved Sandwiches,178,4,,,,,,,
Pottstown,qqtGFnjyZWV--_YqabSb8A,Los Aztecas,148,5,,,,,,,
Boone,em474WuTw7-OkhPfX4EohA,IHOP,29,1,,,,,,,
Boone,h5twh_eStSlMCDCZ7LJ-Fg,Popeyes,9,2,,,,,,,
Valley Park,t-QxJFbbSjC-_X9TWJqITA,Shack Breakfast & Lunch,478,1,,,,,,,
Valley Park,e6DF-FlJ-BXf1vetAkr3Tg,Dalie's Smokehouse,431,2,,,,,,,
Valley Park,peQnrEY1S6sE4ifK2SFUSA,Sugarfire Smokehouse,341,3,,,,,,,
Valley Park,8G4mt9y5mRg161XBs-hePw,Izakaya Ren,124,4,,,,,,,
Valley Park,PVX-8riq4SDjHz7cYrO9Dw,Asian Corner,119,5,,,,,,,
Chalfont,oYzq49fG7jokPLQ38bFMOw,Hachi,268,1,,,,,,,
Chalfont,DTv2J5HBWEdIm9NSwsiFbQ,Aman's Indian Bistro,220,2,,,,,,,
Chalfont,caJvCE_bavQYCHvF9E3UXw,Los Sarapes Chalfont,188,3,,,,,,,
Chalfont,0ycUfAgudMScQ1uUFLHTxQ,Blue Dog Family Tavern,108,4,,,,,,,
Chalfont,Sof0mJlMeQZTiQIRWF8UlA,Tabora Farm and Orchard,108,5,,,,,,,
DONELSON,mxTQ-WZpVJzgXbt_BfYT9Q,Sonic Drive-In,28,1,,,,,,,
CHELTENHAM,sitPTDkBpftQB5wQ5HjiGA,Julies Nail Spa,23,1,,,,,,,
Old Hickory,FAmVbvlu58BbpVuJlAUuVw,Sam's Sports Grill,154,1,,,,,,,
Old Hickory,JQz2Zybnodhpl6_zHZc1ew,Simply Thai & Sushi,150,2,,,,,,,
Old Hickory,xTyQYFaPzxe-XRza7Xoobw,Old Hickory Bistro,96,3,,,,,,,
Old Hickory,yH0ON2BtV52JXxWdZy7Psg,Flat Tire Diner,74,4,,,,,,,
Old Hickory,bHqxzEXdvY4M6wdnkYzpVA,5 Agaves Mexican Restaurant Bar & Grill,72,5,,,,,,,
Parker Ford,MFxKBWBhiWCjt79CoSfe2g,Verde Salon & Day Spa,12,1,,,,,,,
Parker Ford,KMIrrgZ1ERg0HboJJm_0Vw,Clear Pest Solutions,6,2,,,,,,,
Parker Ford,#NAME?,Essence of Stone,5,3,,,,,,,
Telford ,oh-RcDpMM6TcNSLjN1Yg4A,Clean Roots Vegan,76,1,,,,,,,
Clifton Heights,kRvZUnDK3Rn7a7WvGUZ6QQ,The Original Clam Tavern,214,1,,,,,,,
Clifton Heights,TWk5EC3H8FT9J3VpfmWWfw,Gaetano's Pizzeria,121,2,,,,,,,
Clifton Heights,DM48fucxfXKf--e3ZqHq0Q,"Tires, Etc",88,3,,,,,,,
Clifton Heights,tZZvnDlhktteSfnkwho4FQ,Romarco's,54,4,,,,,,,
Clifton Heights,-a0kKyJPMw-8z5AjfQstTw,Yummy 2,53,5,,,,,,,
Fallsington,Y5wdwJwn5fNS3v5kyIo5QQ,Trenton Road Take Out,26,1,,,,,,,
River View,FWgzLH7M2sFKPDTLQ7QFMQ,A & G Design Jewelers,14,1,,,,,,,
"Sparks,",A4uoow6nDQmz_Yj2A9EgvQ,Dana E. Caldwell & Associates,6,1,,,,,,,
Stone Harbor,Xr4ri0RLquaZCKE_CcVKSg,Champion Exteriors,7,1,,,,,,,
Willow Grove,rAe-1HU5Z-DuUXEbzASXDA,Mad Mex - Willow Grove,464,1,,,,,,,
Willow Grove,uP42QDUxC2lxz15BUDbFnA,The Cheesecake Factory - Willow Grove,460,2,,,,,,,
Willow Grove,2Q1R2OhBbAQ581vK_r7NhA,Ooka Restaurant,411,3,,,,,,,
Willow Grove,MqhQlbkYd9dShIEcPbmS_g,Pho & Beyond,378,4,,,,,,,
Willow Grove,we1k41J13buaXeLrPlYFyg,Brick House Tavern + Tap,375,5,,,,,,,
Haddon Township,f8MSbvd5JotxsFsS6fbl-Q,The Pour House - Westmont,498,1,,,,,,,
Haddon Township,DWVh69pl7bV3tBT0UV1stA,Central Taco & Tequila,301,2,,,,,,,
Haddon Township,Ek9iI8uJ7U3IDzVWrwzzew,Giumarello's Restaurant & G Bar,250,3,,,,,,,
Haddon Township,QOcBOX8_yUwbnCsImxJxNg,McMillan's Bakery,169,4,,,,,,,
Haddon Township,WAPhi7JdwIvdTBgM9KsxHA,Westmont Diner,164,5,,,,,,,
NEW PORT RICHEY,_Dr8Bnt8us2qyPKayfj-rA,IHOP,30,1,,,,,,,
Evesham,_IisHzyWHBuFCUwgmFuGLw,Longshore Breakfast and Lunch,41,1,,,,,,,
Evesham,xqWUMFEEbQla7B8lbUTrlA,Starbucks,40,2,,,,,,,
Evesham,x4XipmTC_-o-3BLS9jst5A,Dunkin',26,3,,,,,,,
Evesham,3HRviHdTp11SRWY8rs-rEw,Escape Room Challenge,22,4,,,,,,,
Evesham,THOXisAF58kiwXUv0h-w3g,Ulta Beauty,20,5,,,,,,,
Langhorne,sK0eAOorT6sf2mF5sjEAzg,Sesame Place,839,1,,,,,,,
Langhorne,by3Pd_qk6R9ik3C2Ng_-rg,Margaritas Mexican Restaurant,331,2,,,,,,,
Langhorne,4SneIG3-02kRCgQx-hu51Q,J B Dawson's Restaurant & Bar,273,3,,,,,,,
Langhorne,nFdDkQNfy3bOLrs1Wdn7ow,Langhorne Coffee House,236,4,,,,,,,
Langhorne,UrSj-PThC681ei_iIAAwMA,Miller's Ale House,232,5,,,,,,,
Bucks County,TM-HsBarPfLrH3xyZgpZmA,Celebrations,50,1,,,,,,,
Bucks County,jXx3Lz0fBWvIgyJVbd_vlg,Royal Moving Solutions,11,2,,,,,,,
Eaux Claires,TbG9cKTpRdALSFyAN5XWqQ,McDonald's,13,1,,,,,,,
San Antonio,C8KFRgrMtc_naR6I7yWytg,Pancho's Restaurant of San Ann,248,1,,,,,,,
San Antonio,UqKBohYGd-6O56HnmI-hzA,Local Public House & Provisions,103,2,,,,,,,
San Antonio,3ApMOxGydPvzqjPbtOo4FA,Al's Famous Pizza,70,3,,,,,,,
San Antonio,H9sugQg2PyDvtqW_vIVm8A,Denny's,33,4,,,,,,,
San Antonio,wNkfYzasTvhspDmiPNB4dg,A Cup Of Organic,16,5,,,,,,,
Town and Country,QFzfm7Xe8i_7M6oS08c9YQ,Cooper's Hawk Winery & Restaurant - Town & Country,508,1,,,,,,,
Town and Country,qma1sGQv7ArUtzuUTQElRg,Katie's Pizza & Pasta Osteria,324,2,,,,,,,
Town and Country,d-cajJNm80ee4YyGARtbUg,Wasabi Sushi Bar,178,3,,,,,,,
Town and Country,osL7qIVyk-WCdK9qiPTS5A,Whole Foods Market,104,4,,,,,,,
Town and Country,EuPyIJIGuG5yH_DQFlq08w,Celebrating Life Cake Boutique,97,5,,,,,,,
Newtown square,Do3p35rvT6BUTff2PVuABg,Health Spa Massage,12,1,,,,,,,
Oxnard,wN-05hPqSx4a0OQ63cN-yg,Mekaniks Plus Car Care Corner,13,1,,,,,,,
Wayne/Radnor,SS-fxHTJYfXTJoqQKV3dSg,Monro Auto Service and Tire Centers,23,1,,,,,,,
Zionsville,SMZ2-pycp9di-ee5FJ-anw,Salty Cowboy,387,1,,,,,,,
Zionsville,Byul1JRl45pjFnKQrhC_WQ,Traders Point Creamery,328,2,,,,,,,
Zionsville,0vOOrWqn-7HlyVIqUT_8JA,Noah Grant's,321,3,,,,,,,
Zionsville,ehzdBdCuwFNHEoIfpJY7Iw,The Loft Restaurant,321,4,,,,,,,
Zionsville,hEb0f7wRZBUhX5f4CWEukg,Friendly Tavern,308,5,,,,,,,
Carrollwood,M1Oj3ioi2qPoQEHfgiXo3Q,Applebee's Grill + Bar,85,1,,,,,,,
Carrollwood,gk8l75GLFUsFr0kS5uLtkQ,Chick-fil-A,53,2,,,,,,,
Carrollwood,hhqbVp3IhvJ0dE_Rf603rQ,Michaels,20,3,,,,,,,
Carrollwood,HEUYDy6SEmA5fptgusn4Yw,Take 5 Oil Change,20,4,,,,,,,
Carrollwood,5uB1fWyjki39MiwXr9_fwA,Eyeglass World,19,5,,,,,,,
Audubon,7BQObhEOYhw5HUcmpNlFoQ,Horizon Services,368,1,,,,,,,
Audubon,8cjw0td9VVUmhQTLpeFgRA,Zwahlen's Ice Cream & Chocolate,194,2,,,,,,,
Audubon,oVfTDLW0bg4VMXlSI-tpTA,Smoke BBQ,147,3,,,,,,,
Audubon,zE2IC_ocw2dxM6Hzd4iL0g,Chickie's & Pete's,143,4,,,,,,,
Audubon,3VYn-8vrMXe-IRgwBaFVKw,Bombay Dhabba - Audubon,130,5,,,,,,,
Sullivan,AVCjn9uVgkjIRM3uYrEf1w,Du Kum Inn,23,1,,,,,,,
Rosemont,SuQgcpL-aZeuyRjBdA0pHw,Samurai Japanese Restaurant,72,1,,,,,,,
Rosemont,pOvZxLj85yEOMFNRpZBtvw,Antonella's Italian Kitchen,68,2,,,,,,,
Rosemont,zm4TZxLGRbGkhfw_aaMwnQ,Pizza Hut,18,3,,,,,,,
Rosemont,e0EpncsFYJx7sJsvDaJCxg,barre3 - Rosemont,15,4,,,,,,,
Rosemont,5PYTRmAqJDS2tHWYXJ6xPA,CVS Pharmacy,15,5,,,,,,,
Wilimington,IAiBDzIqD3ozKo-EhnPIaQ,Regal Brandywine Town Center,83,1,,,,,,,
South Tucson,rfsFB_Z4B-CNTBktcUEbmA,McDonald's,21,1,,,,,,,
South Tucson,UrGRbxzIc7BL0wzYmwha4g,Wingstop,18,2,,,,,,,
South Tucson,aL627cSsMYF3XcepNQMHNA,Risas Dental and Braces - South Tucson,8,3,,,,,,,
Kimmiswick,KtHdmCfYSAX26qZihz4IoQ,Strawberry Festival,5,1,,,,,,,
Woodstown,OmxnV7Slw1bhBI9lbL-mtA,Woodstown Diner-Restaurant & Lounge,68,1,,,,,,,
Woodstown,r3Ta_VPo24YfjAV1M1Bz5A,Cream Valley Custard,26,2,,,,,,,
Woodstown,4a5L98EcwuezQT4A__onew,Papa Luigi Pizzeria,25,3,,,,,,,
Woodstown,MObScX791gFEwtkoFA9GQg,Creekside Inn,21,4,,,,,,,
Woodstown,sRKVGJ8zZx0RYbCpPdmsJQ,Altra nail spa,19,5,,,,,,,
Spokane,kNK3tjrKa6e_Tf9c9WWehA,Suave Nails,6,1,,,,,,,
Temple Terrace,EP2jFD3aGoSBCWb7irY5-w,Queen of Sheba,369,1,,,,,,,
Temple Terrace,wbwDE3g8j4w-TGy_E6dMSw,Cazador Grill,266,2,,,,,,,
Temple Terrace,Fbtcj6j9-byxq68ACKpcUA,Babushka's - Temple Terrace,229,3,,,,,,,
Temple Terrace,tOBpyk5SKKgU4MAgX2xaEQ,Bangkok Jazz Thai Restaurant,197,4,,,,,,,
Temple Terrace,8DXIMrr2hJNUNnESAM4Fow,Saigon Bay Vietnamese Restaurant,191,5,,,,,,,
St. Ann,1lVORLOmRYIEKVSpehlGBg,Steak ’n Shake,50,1,,,,,,,
St. Ann,VVIQd6SyPsrVeUsk1T5TRA,Pear Tree Inn St. Louis Airport,49,2,,,,,,,
St. Ann,1hZDsxVg5SqDJg6PF00sTA,Popeyes Louisiana Kitchen,45,3,,,,,,,
St. Ann,4CdXVM7-7ek6sNs11gaVuQ,McDonald's,40,4,,,,,,,
St. Ann,Znr5C75iByDDIk7C6wqgsA,Starbucks,24,5,,,,,,,
Warrington Township,QzOH5gO0LuUkvDbr3u3ktQ,Ruby Tuesday,59,1,,,,,,,
Warrington Township,BPJu5rkIP51ktapNlZnemA,Aji Sushi,25,2,,,,,,,
Warrington Township,g60zyEkaKhEMYRqEqdeRFg,Players Barber Shop,14,3,,,,,,,
Lederach,PgladPQF53C4syIB6ajoiA,Lederach Tea Room,49,1,,,,,,,
Lederach,VpnEe2jpty_M5eDMqSvZng,Bay Pony Inn,40,2,,,,,,,
Lederach,is6Ge-L_3eKErDXLPtRgbQ,Urban's Wood Fired Pizza,15,3,,,,,,,
Lederach,niCo6T53fIBwFDWbQ5PFdQ,Marty's Salon,6,4,,,,,,,
Saint Albert,dswUfZdTbNJYMTkJyO40UA,12 ACRES Restaurant,58,1,,,,,,,
Saint Albert,#NAME?,Toast,56,2,,,,,,,
Saint Albert,UiyFIPOSqdvwqcoCSEW3Dw,The Celtic Knot,23,3,,,,,,,
Saint Albert,E3hhxesw9MSXKfLBuAIfLw,Servus Credit Union Place,23,4,,,,,,,
Saint Albert,lmlXgMqq36OUHRrXJtl4RQ,La Crema Caffé,21,5,,,,,,,
Belleair,bjXPhTr72_beVFKyR5rwSQ,Kate Yoga,21,1,,,,,,,
Belleair,VsXUbX4e97GR4tDh3Y3heA,Belleair Country Club,13,2,,,,,,,
Belleair,3GbttL9aZYMiiLfNMqxHdQ,Belleview Inn,11,3,,,,,,,
Belleair,TJoPBKqDSDgVh37CWLnQiQ,Mosquito Joe of Tampa Bay,10,4,,,,,,,
Belleair,8mQV-m7E5jf3xLFFEAn9Ow,Belleview Biltmore Golf Club,8,5,,,,,,,
Land-O-Lakes,9i0d3M2wMA2oiY9Yn9bijg,Tuffy Tire & Auto Service Center,15,1,,,,,,,
Casa Adobes,FeEawbq1Hcdfx3GFf1aLZQ,Starbucks,41,1,,,,,,,
Vineland,OgcXB0vfMcTGpgH9qPtkzw,Fat Jack's BBQ,5,1,,,,,,,
Newark,UBX73ZWgCdgom4nv0UeGvg,Border Cafe,775,1,,,,,,,
Newark,luUGLqA3Gxv5raCJOAzblw,Firebirds Wood Fired Grill,456,2,,,,,,,
Newark,yK8LWJ4VRTYEoGxVYzcjQg,Metro Diner,407,3,,,,,,,
Newark,ujUb29BOYcUyhMcnqo4bWA,Two Stones Pub,341,4,,,,,,,
Newark,OwBgQo86CL2GmGX0OIUEEw,The Cheesecake Factory - Newark,274,5,,,,,,,
tampa,sGr9mGcAwg1gXYQUHghOjw,Tire World,34,1,,,,,,,
tampa,sOnC4_aNjnutPxKtUZOuCg,Seven Golden Floors,5,2,,,,,,,
Cerritos,zAhDliPU8xRGGpF17n_lvw,Sears Auto Center,136,1,,,,,,,
Clearwater,Ps7Q7BOKzJO4nDTUhbk43Q,Clear Sky Cafe,1869,1,,,,,,,
Clearwater,RRCgIohWjaeGtlbpcYJBbw,Lenny's Restaurant,1014,2,,,,,,,
Clearwater,_MWbuRiTqbWEjlfxRAvzWQ,Cristino's Coal Oven Pizza,961,3,,,,,,,
Clearwater,6-ixjryKFrCgue3JaHnvXQ,Pearly's Beach Eats,882,4,,,,,,,
Clearwater,Q4h1hSX21mzSEUfZ6iU3iQ,Rumba Island Bar & Grill,789,5,,,,,,,
Arizona,P-VlH8g51TRVru2RGGbCTg,Dream Dance,11,1,,,,,,,
Wesley Ccapel,eR4UtgKhzbSydwKVv53JcQ,As We Grow Counseling,6,1,,,,,,,
Columbus,304oa74LzemwcRMuIK2rJA,Columbus Farmer's Market & Flea Market,165,1,,,,,,,
Columbus,l6IoWDxAufetWhxPF04Q_g,Eat Street Bbq Grill,77,2,,,,,,,
Columbus,f1pFxhEgey9VKasRxr8eng,Kate & Al's Pizza,72,3,,,,,,,
Columbus,yO4jCWUMBQ5m80kaBTExRQ,Columbus Cupcakery,62,4,,,,,,,
Columbus,yuQFQ0T9WkSXP9yFQad3qw,Pete's Pizza,58,5,,,,,,,
Covington,e-W6rZ75PrBCTIV3qAdlPA,All American Inspections & Testing,20,1,,,,,,,
clearwater,K45LUT-_MRhHJOzy5nBBjQ,Prestige Pet care,26,1,,,,,,,
clearwater,WqSck6AHitsxVw56_aZLPQ,Krepelicious Food Truck,12,2,,,,,,,
Plainfield,t4Pg_wMV-SDplEpbnVZtLw,Black Swan Brewpub,330,1,,,,,,,
Plainfield,GmaZOaUG47DRbfzKAGKwcA,Oasis Diner,280,2,,,,,,,
Plainfield,cFr89kiSMvB1WsoGB_ZPBA,BRU Burger Bar - Plainfield,239,3,,,,,,,
Plainfield,Wzs-kKlWOHa6-CvF0UP9ng,Stone Creek Dining Company - Plainfield,233,4,,,,,,,
Plainfield,IqitQsWPnTVTCJIRqh80lA,India Bistro,206,5,,,,,,,
TEMPLE TERR,5P7V2gz03Pz_XOLoP5rliA,NAPOLI PIZZA,10,1,,,,,,,
Lawrenceville,EwYzIWSC-w81qZwUwVDoIQ,Enzo's La Piccola Cucina,116,1,,,,,,,
Lawrenceville,-3LGekWQ5iHMQO1a9_DDbw,Capitol Car Wash,28,2,,,,,,,
Lawrenceville,0niFN1BolHsI_Wrk03WrcA,Pets Plus Natural,28,3,,,,,,,
Lawrenceville,6e9famMkhkTOpnrJUu9RBg,Accurate Roofing & Siding,27,4,,,,,,,
Lawrenceville,bZj8xl72WBTBqnv4wXMGKQ,Pulaski Meat Products,11,5,,,,,,,
Pine Forge,Pux_7mToiJgXRjVldmLkaw,Gracie's 21st Century Cafe,41,1,,,,,,,
West Conshohocken,yDHINEt7By47My7x4Mb8oA,The Gypsy Saloon,210,1,,,,,,,
West Conshohocken,6kb_o-I9MJfzG8-ok8NMmQ,Baggataway Tavern,135,2,,,,,,,
West Conshohocken,La-xKvOupbntNTUQqd4U0A,Marriott Philadelphia West,87,3,,,,,,,
West Conshohocken,04bnx8EOir7t3k92a7DV3Q,Keystone Pizza,59,4,,,,,,,
West Conshohocken,UPeIqSldWfA5M4gA--z-Yg,McDonald's,36,5,,,,,,,
East Norristown,XAmhZ0CyRhOnZ58RsCcdbQ,Suburban Community Hospital,15,1,,,,,,,
Gardenville,n752SCpfXYjeM8ztL_VJNA,Gardenville Hotel,44,1,,,,,,,
Quakertown,h5tEpWXExIFwv70QN4wlAA,Karlton Cafe,168,1,,,,,,,
Quakertown,FQ60J2xokDipmenBDgWjjg,The Proper Brewing Company,118,2,,,,,,,
Quakertown,LHSTtnW3YHCeUkRDGyJOyw,Fries Rebellion,113,3,,,,,,,
Quakertown,kMiriyUO_EuYm6OB53gfIg,Tijuana Tacos,105,4,,,,,,,
Quakertown,NKKsR54hhAW0cI1epFdqpg,Quakertown Farmers Market,74,5,,,,,,,
Frederick,pQ_bN3YhTrswGAfRWfH-gA,Aberdeen Kennels,5,1,,,,,,,
Chichester,uGe331PBgojNaSYl-Ky7aw,Duffers Mill,42,1,,,,,,,
Chichester,zaVDhiikQDCV_kSmLBWflg,New Orleans Cafe,5,2,,,,,,,
Indian Rocks Beach,1jeaxiZOisgDMxHR2K088g,Guppys on the Beach,1334,1,,,,,,,
Indian Rocks Beach,9f5GXEeTvBWnrZ-AHEjgJQ,The Original Crabby Bills,1188,2,,,,,,,
Indian Rocks Beach,BY-du320SIHBR9MYUrZSZg,Keegan's Seafood Grille,814,3,,,,,,,
Indian Rocks Beach,o2loFPjTN8zlkhb8Q3WTnA,Lulu's Oyster Bar & Tap House,697,4,,,,,,,
Indian Rocks Beach,8ObCdQQ3mHwDsSsk75Z2lA,Slyce - Indian Rocks Beach,602,5,,,,,,,
Merion,BBVRx6N7o4VrmxDHJHUTaw,Long Stems,40,1,,,,,,,
Green Valley,1s8WJM2zbUScgZ-7HlMXuA,Two Girls Pizzeria,259,1,,,,,,,
Green Valley,plYjYdyKqDgA0nd4YYLK5w,Twist & Shout 50's Diner,149,2,,,,,,,
Green Valley,si1CXN9iRoJvoKhO1LZSTQ,Rigoberto's Mexican Food,115,3,,,,,,,
Green Valley,c3l9FEnCxH0zf8EypiR61A,El Patio,112,4,,,,,,,
Green Valley,1nwCEY5pSLBLtjxsVj1kLQ,Saigon Flavor,103,5,,,,,,,
Nampa,vGI9jBE-byff530KPdTD-g,SS Salon & Boutique,13,1,,,,,,,
Nampa,uRBkTVFbKaWz2hkWIn4_Mw,Quality Appliance,9,2,,,,,,,
Nampa,5Gn3j2rIv8rtih5HZiRbaQ,The Kilted Kod Nampa Caldwell,7,3,,,,,,,
Nampa,aUJh_PRVbNiYzOYUaVik2g,The BBQ Guy,5,4,,,,,,,
Aldan,auBRFCUG20A_-4Mxot0dgQ,Penn Pines Diner,51,1,,,,,,,
Aldan,VdJ2Ln27tfM258MaT_qIXw,Bernie's Pretzel Bakery,34,2,,,,,,,
Aldan,Hzmx-I6ZGIhWM8OmMZtXyw,JT Brewski's Pub,23,3,,,,,,,
Aldan,oMhG3Ao8BohT7j6D95sDhA,Value Thrift Shop,20,4,,,,,,,
Aldan,Z7L0c2jCp5bgUHk2_povfA,Golden Place Chinese Restaurant,19,5,,,,,,,
Holland Southampton,hnf3X-auqHuxd56YemuSqQ,Pizza Land,15,1,,,,,,,
Pilgrim Gardens,5jSFN8r7H4a0lPOv8tfcRg,Classic Nails,9,1,,,,,,,
Plant City,GsT488GHjNdw6jA2f3QKqw,Keel & Curley Winery,430,1,,,,,,,
Plant City,08zAKV1Sp-TIC_YVwBcBNw,Fred's Southern Kitchen,329,2,,,,,,,
Plant City,PEYgtOhGVoBoWwTJJg4M7A,Parkesdale Farm Market,268,3,,,,,,,
Plant City,eq3XNdM8q148IHoUMT9FcQ,Johnson's Barbeque,242,4,,,,,,,
Plant City,gIO5-x2s3JMeScZXeOfJDw,Dinosaur World,230,5,,,,,,,
Erial,UXMe0nSRbvV7OUSXMjkLWA,Gallery Pizza,30,1,,,,,,,
Erial,5kohYM6IZks3x1r8l5T5Xg,Jersey Auto Body,6,2,,,,,,,
Erial,zkzXnf9zRNHX5Gy2wFK9MA,Divers Academy International,6,3,,,,,,,
Erial,Q2EWLTA7ZzfKOiWz9CvlFQ,Adam Marks Plumbing & Drain Cleaning,5,4,,,,,,,
Erial,hL3wtNmST_XPIKQ9mEpfAw,Daniel Tavares Academy,5,5,,,,,,,
Arden,0kr6BXgT_xIplfjU65KS-A,Oddporium,11,1,,,,,,,
Mt.Juliet,wTPu4C7FTdJNLu88_JJqeg,Wendy's,14,1,,,,,,,
Tierra Verde,Wf9Ir1pvAmQL5GXgBEvCcA,The Island Grille & Raw Bar,502,1,,,,,,,
Tierra Verde,KBkRP6gU7eqEY0wImvuzWQ,Fort De Soto Park,343,2,,,,,,,
Tierra Verde,JGpoGKwiLz85bCsnRzWy5g,Billy's Stone Crab,312,3,,,,,,,
Tierra Verde,mBZ2ghpVX5wUnoz0TJKE1g,Tony and Nello's,169,4,,,,,,,
Tierra Verde,RtsxLNG5ta65Gatr09cnPg,Alsace french bistro,121,5,,,,,,,
Kng Of Prusia,Z-C7_KKcwuIX1I8mR2_bXQ,Sears Auto Center,14,1,,,,,,,
White House,pDKtJ2FXOujVSXX1MCxWbg,Colorado Grill,178,1,,,,,,,
White House,BS3Oi49x4vEPep1IFFiYSg,Jaws Jumbo Burgers,172,2,,,,,,,
White House,KzjdXZBJTOzFLxKvzz_kbg,Molipazzo,89,3,,,,,,,
White House,QNGPUylzKJSXHjNjgqJ2EQ,White House Pizza and Pub,68,4,,,,,,,
White House,3_z_ILjp4AUOiyyMsobKoA,Los Jalapenos,62,5,,,,,,,
Eastampton,ssfYhDhEuc98I7SCENXqnw,John & Molly's,276,1,,,,,,,
Eastampton,7V-_PpeQfrD6PyEklSwEdg,The Olde World Bakery & Cafe,80,2,,,,,,,
Eastampton,vm89GmA_IUnuSyN_L2wGtw,537 Subs & More,36,3,,,,,,,
Eastampton,x74ddt2X1j6SLbuCo0vV8w,Dunkin',14,4,,,,,,,
Eastampton,hVHjRiHA0nVLbRqUkBI7xg,Sherwood Village Apartment & Townhomes,9,5,,,,,,,
meridian,h1_Un0I23_iReLhf_ewscA,Indepth Detailing,26,1,,,,,,,
Tampa,QHWYlmVbLC3K6eglWoHVvA,Datz,3388,1,,,,,,,
Tampa,L5LLN0RafiV1Z9cddzvuCw,Ulele,3179,2,,,,,,,
Tampa,dsfRniRgfbDjC8os848B6A,Bern's Steak House,3028,3,,,,,,,
Tampa,3YqUe2FTCQr0pPVK8oCv6Q,Columbia Restaurant,2916,4,,,,,,,
Tampa,p_qSQwShIgQnNxGcajI4-w,Oxford Exchange,1938,5,,,,,,,
Goleta,QaFbv7aLQBcfT4xMF1_WnQ,Rockfire Grill,1290,1,,,,,,,
