CATEGORY,NUMBER_OF_BUSINESSES
Colleges & Universities,177
Diagnostic Imaging,176
Fabric Stores,175
Escape Games,175
Auto Loan Providers,175
Traditional Chinese Medicine,174
Musical Instrument Services,174
Resorts,173
Garage Door Services,172
Pool Halls,171
Dog Parks,170
Packing Supplies,170
Pet Adoption,168
Personal Shopping,166
Funeral Services & Cemeteries,166
Creperies,165
Furniture Reupholstery,163
Roadside Assistance,163
Snow Removal,162
Recycling Center,161
Home Window Tinting,159
Television Service Providers,159
Barre Classes,158
Fishing,158
Irish Pub,157
Home Organization,157
Mass Media,156
Lawn Services,156
Countertop Installation,155
Threading Services,154
Gun/Rifle Ranges,153
Pretzels,153
Rugs,151
Drywall Installation & Repair,151
Cheese Shops,151
Home & Rental Insurance,150
Wine Tasting Room,149
Animal Shelters,149
Cardio Classes,149
Comic Books,148
Walk-in Clinics,148
Refinishing Services,148
Life Insurance,147
Propane,147
Personal Injury Law,146
Do-It-Yourself Food,145
Vacation Rentals,143
Internet Cafes,143
Vinyl Records,142
Dim Sum,140
Leather Goods,140
Departments of Motor Vehicles,140
Tax Services,139
Cannabis Clinics,139
Social Clubs,139
Home Theatre Installation,138
Costumes,137
Historical Tours,136
Team Building Activities,136
Supernatural Readings,136
Divorce & Family Law,135
Public Transportation,135
Gay Bars,135
Educational Services,135
Plus Size Fashion,133
Carpet Installation,133
Gold Buyers,131
Boxing,131
Modern European,131
Country Clubs,131
Water Purification Services,131
Food Court,130
Stadiums & Arenas,130
Tanning Beds,130
Life Coach,130
Boat Charters,130
Cannabis Dispensaries,128
Screen Printing/T-Shirt Printing,128
Marketing,127
DJs,127
Party Bus Rentals,127
Web Design,127
Rafting/Kayaking,126
Accountants,126
German,125
Fireplace Services,125
Podiatrists,124
Knitting Supplies,124
Surgeons,123
Home Automation,122
Cycling Classes,122
Airports,122
Beaches,122
University Housing,122
Mortgage Lenders,122
Teeth Whitening,122
Data Recovery,121
Paint Stores,118
Airlines,118
Adult,118
Patisserie/Cake Shop,117
Decks & Railing,117
Septic Services,117
Personal Chefs,116
Pain Management,116
Solar Installation,116
Amateur Sports Teams,116
Commercial Real Estate,116
African,115
Casinos,114
Szechuan,114
Home Health Care,113
Souvenir Shops,113
Chimney Sweeps,113
Herbs & Spices,112
New Mexican Cuisine,111
Skating Rinks,111
Swimwear,111
Wine Tours,110
Candle Stores,110
RV Dealers,109
Paint & Sip,109
Pawn Shops,108
Filipino,108
RV Repair,108
Grout Services,106
Carpenters,105
Distilleries,105
Bespoke Clothing,104
Plastic Surgeons,103
Falafel,103
Dance Schools,102
Utilities,102
Donation Center,101
Video Game Stores,100
Walking Tours,100
Occupational Therapy,99
Meditation Centers,99
Puerto Rican,99
Wildlife Control,99
Waterproofing,98
Paddleboarding,98
Fitness/Exercise Equipment,98
Retirement Homes,97
Shutters,97
Comedy Clubs,97
Car Buyers,96
Mini Golf,96
Art Schools,95
Adult Education,95
Body Contouring,94
Emergency Rooms,93
Battery Stores,93
Cosmetology Schools,93
Cantonese,93
Insulation Installation,92
Campgrounds,92
Tattoo Removal,92
Cooking Classes,92
Photo Booth Rentals,92
Criminal Defense Law,91
Kebab,90
Advertising,90
Uniforms,90
Investing,89
Psychiatrists,89
Spiritual Shop,88
Customized Merchandise,88
Farms,88
Live/Raw Food,88
Motorcycle Gear,87
Tennis,87
Video/Film Production,87
Vehicle Wraps,86
Wigs,86
Hunting & Fishing Supplies,86
Donairs,85
Whiskey Bars,85
RV Parks,85
Turkish,85
Guitar Stores,84
Legal Services,84
Lebanese,83
Swimming Lessons/Schools,83
Appraisal Services,82
Outdoor Furniture Stores,82
Peruvian,82
Employment Agencies,81
Indoor Playcentre,81
Screen Printing,81
Auto Upholstery,80
Radiologists,80
Kickboxing,80
Metal Fabricators,80
Ear Nose & Throat,79
General Litigation,79
Registration Services,78
Boat Repair,78
Brazilian,77
Middle Schools & High Schools,77
Tabletop Games,77
Taiwanese,77
Print Media,76
Cooking Schools,76
Embroidery & Crochet,75
Smokehouse,75
British,75
Hot Pot,75
Pop-Up Restaurants,75
Trampoline Parks,73
Videographers,73
Emergency Pet Hospital,73
Gymnastics,73
Kosher,73
Estate Planning Law,73
Golf Equipment,72
Generator Installation/Repair,72
Tiki Bars,72
Orthotics,71
Bus Tours,71
Flea Markets,70
Pan Asian,69
Aquariums,69
DUI Law,69
Colombian,67
Horseback Riding,67
Ethiopian,67
Mountain Biking,66
Saunas,66
Allergists,66
TV Mounting,65
Patio Coverings,65
Hydro-jetting,65
Furniture Assembly,65
Commercial Truck Repair,65
Empanadas,64
Farming Equipment,63
Food Tours,62
Golf Lessons,62
Vocational & Technical School,62
Neurologist,62
Security Services,61
Boat Tours,61
Christmas Trees,61
Guest Houses,61
Business Consulting,60
Driving Schools,60
Wholesalers,60
Salvadoran,60
Perfume,60
Botanical Gardens,60
Climbing,59
Cultural Center,59
Hair Loss Centers,59
Shared Office Spaces,59
Firearm Training,58
Psychics,58
Hats,58
Stucco Services,58
Alternative Medicine,58
Professional Sports Teams,57
Auction Houses,56
RV Rental,56
Environmental Testing,56
Popcorn Shops,55
Assisted Living Facilities,55
Tutoring Centers,55
Business Law,54
Maternity Wear,54
Special Education,54
Furniture Repair,53
Axe Throwing,53
Cigar Bars,53
Town Car Service,53
Macarons,53
Sunglasses,52
Beverage Store,52
Auto Security,52
Zoos,52
Sleep Specialists,52
Cardiologists,51
Diving,51
Beer Tours,51
Boat Dealers,51
Home Network Installation,51
Laser Tag,50
Bartenders,50
Challenge Courses,50
Herbal Shops,50
Float Spa,50
Environmental Abatement,50
Demolition Services,49
Employment Law,49
Kids Hair Salons,49
Brazilian Jiu-jitsu,49
Moroccan,49
IV Hydration,48
Haunted Houses,48
Piano Bars,48
Service Stations,48
Estheticians,48
Laotian,48
Hostels,48
Yelp Events,48
Venezuelan,48
Tui Na,47
Cafeteria,47
Brewing Supplies,47
Real Estate Law,47
Acne Treatment,47
Skilled Nursing,47
Art Museums,47
Fertility,47
Brasseries,47
Piano Services,47
Radio Stations,46
Private Tutors,46
Blood & Plasma Donation Centers,45
Leisure Centers,45
Bankruptcy Law,45
Musicians,45
Aquarium Services,45
Officiants,44
Car Inspectors,44
Used Bookstore,44
Midwives,44
Home Staging,44
Dominican,44
Skate Shops,44
Payroll Services,44
Tasting Classes,44
Afghan,44
Kombucha,43
Polish,43
Aestheticians,43
Dental Hygienists,43
Trailer Repair,43
Pool & Billiards,43
Foundation Repair,42
Russian,42
Buses,42
Newspapers & Magazines,42
Prosthodontists,41
Firewood,41
Hypnosis/Hypnotherapy,40
Local Fish Stores,40
Circuit Training Gyms,40
Lighting Stores,40
Vehicle Shipping,40
Luggage,40
Persian/Iranian,40
Holiday Decorations,40
Grilling Equipment,40
Ski & Snowboard Shops,40
Sugaring,39
Day Camps,39
Roof Inspectors,39
Hospice,39
Basque,39
Marinas,39
Farm Equipment Repair,39
Gastroenterologist,39
CSA,39
Henna Artists,38
Excavation Services,38
Go Karts,38
Livestock Feed & Supply,38
Check Cashing/Pay-day Loans,38
Trusts,38
Mobile Dent Repair,38
& Probates,38
Osteopathic Physicians,38
Teppanyaki,38
Wills,38
Pet Transportation,38
Fire Protection Services,38
Paint-Your-Own Pottery,37
Olive Oil,37
Clothing Rental,37
Travel Agents,37
Cryotherapy,37
Estate Liquidation,37
Pet Hospice,37
Pet Cremation Services,37
Trailer Dealers,37
Boudoir Photography,37
Wedding Chapels,36
Train Stations,36
Mongolian,36
Race Tracks,36
Arabic,36
Archery,36
Audiologist,36
Recording & Rehearsal Studios,36
Workers Compensation Law,35
Awnings,35
Career Counseling,35
Dinner Theater,35
Rock Climbing,35
Shoe Shine,35
Police Departments,35
Engraving,35
Scuba Diving,34
Dumpster Rental,34
Argentine,34
Strip Clubs,34
Jet Skis,34
Prenatal/Perinatal Care,33
Health Coach,33
Bistros,33
Paintball,33
Test Preparation,33
Portuguese,33
Psychologists,33
Spine Surgeons,32
Balloon Services,32
Bike tours,32
Urologists,32
Community Centers,32
Real Estate Photography,32
Soccer,32
Ethnic Grocery,32
Doulas,31
Gemstones & Minerals,31
Knife Sharpening,31
Wine Tasting Classes,31
Television Stations,31
Pop-up Shops,31
Commercial Truck Dealers,31
Lakes,30
Surfing,30
Delicatessen,30
Speakeasies,30
Malaysian,30
Self-defense Classes,30
Pole Dancing Classes,29
Pumpkin Patches,29
Mobility Equipment Sales & Services,29
Ticket Sales,29
Personal Assistants,29
Cremation Services,29
Water Delivery,29
Skate Parks,28
Psychic Mediums,28
Themed Cafes,28
Trailer Rental,28
Horse Boarding,28
Eatertainment,28
Kitchen Supplies,28
Bookkeepers,28
Airport Lounges,28
Condominiums,27
Gunsmith,27
High Fidelity Audio Equipment,27
Champagne Bars,27
Lactation Services,27
CPR Classes,27
Fondue,27
Hearing Aid Providers,27
Machine & Tool Rental,26
Cabaret,26
Surf Shop,26
Bar Crawl,26
Poutineries,26
Pick Your Own Farms,26
Magicians,26
Medical Transportation,26
Medical Cannabis Referrals,25
Clock Repair,25
Batting Cages,25
Attraction Farms,25
Cideries,25
Virtual Reality Centers,25
Restaurant Supplies,25
Health Retreats,25
Endocrinologists,25
Karate,24
Water Parks,24
Belgian,24
Shredding Services,24
Artificial Turf,24
Architects,24
Reproductive Health Services,24
Honduran,24
Face Painting,24
Addiction Medicine,23
Outdoor Power Equipment Services,23
Childbirth Education,23
Indonesian,23
Religious Items,23
Medical Law,23
Trophy Shops,23
Personal Care Services,23
Halotherapy,23
Bird Shops,23
Public Markets,23
Races & Competitions,22
Structural Engineers,22
Pet Photography,22
Disc Golf,22
Nurse Practitioner,22
Shaved Snow,22
Oncologist,22
House Sitters,21
Memory Care,21
Basketball Courts,21
Himalayan/Nepalese,21
Dietitians,21
Colonics,20
Muay Thai,20
Pulmonologist,20
Well Drilling,20
Nanny Services,20
Massage Schools,20
Airport Terminals,20
Children's Museums,20
Haitian,20
Public Art,20
Tai Chi,20
Aerial Fitness,19
Courthouses,19
Health Insurance Offices,19
Speech Therapists,19
Immigration Law,19
Title Loans,19
Music Production Services,19
Car Share Services,19
Powder Coating,19
Motorsport Vehicle Repairs,19
Fingerprinting,19
Flight Instruction,18
Burmese,18
Party Bike Rentals,18
Cambodian,18
Safe Stores,18
Art Tours,18
Honey,18
Motorcycle Rental,18
Ukrainian,18
Valet Services,18
Shanghainese,17
Wallpapering,17
Concierge Medicine,17
Skydiving,17
Talent Agencies,17
Vacation Rental Agents,17
Trinidadian,17
Dive Shops,16
Holistic Animal Care,16
Passport & Visa Services,16
Lice Services,16
Architectural Tours,16
Izakaya,16
Sicilian,16
Ultrasound Imaging Centers,16
Hydrotherapy,16
Egyptian,16
Holiday Decorating Services,15
Pet Breeders,15
Crane Services,15
Bounce House Rentals,15
Armenian,15
Parenting Classes,15
Installment Loans,15
Religious Schools,15
Emergency Medicine,15
Solar Panel Cleaning,14
Debt Relief Services,14
Dance Wear,14
Rolfing,14
Golf Equipment Shops,14
Private Investigation,14
Software Development,14
Snorkeling,14
Bangladeshi,14
Editorial Services,14
Baseball Fields,14
Car Brokers,14
First Aid Classes,14
Vascular Medicine,14
Pancakes,14
Home Energy Auditors,14
Japanese Curry,13
Rheumatologists,13
Preventive Medicine,13
Commissioned Artists,13
Montessori Schools,13
Ski Resorts,13
Sailing,13
Matchmakers,13
Reptile Shops,13
Australian,13
Motorcycle Parts & Supplies,13
Scooter Rentals,13
Taekwondo,13
Business Financing,13
Tableware,13
ATV Rentals/Tours,12
Ziplining,12
Beach Equipment Rentals,12
Synagogues,12
Motorsport Vehicle Dealers,12
Anesthesiologists,12
Private Schools,12
Tubing,12
Aerial Tours,12
Water Stores,12
Audio/Visual Equipment Rental,12
Hot Air Balloons,12
Piano Stores,12
Qi Gong,12
Safety Equipment,12
Food Banks,12
Homeowner Association,12
Mobile Home Parks,12
Social Security Law,12
Hockey Equipment,11
Public Relations,11
Tax Law,11
Diamond Buyers,11
Home Developers,11
Military Surplus,11
Scandinavian,11
Car Auctions,11
Prosthetics,11
Traffic Ticketing Law,11
Photography Classes,11
Trains,11
Country Dance Halls,11
Drive-Thru Bars,10
Iberian,10
Opera & Ballet,10
Grill Services,10
Rest Stops,10
Boat Parts & Supplies,10
Glass Blowing,10
Clowns,10
Horse Racing,10
Hybrid Car Repair,10
Bail Bondsmen,10
Junkyards,10
Ayurveda,10
Machine Shops,10
Pet Waste Removal,10
Art Restoration,10
Language Schools,10
Bartending Schools,10
Art Space Rentals,10
Astrologers,9
Syrian,9
Public Adjusters,9
Hazardous Waste Disposal,9
Digitizing Services,9
Teacher Supplies,9
EV Charging Stations,9
Scavenger Hunts,9
Visitor Centers,9
Party Characters,9
Singaporean,9
Pet Insurance,9
Hydroponics,9
Mediators,9
Translation Services,9
Fireworks,9
Parasailing,9
Coffeeshops,8
Uzbek,8
Scooter Tours,8
Bookbinding,8
Drive-In Theater,8
Horse Equipment Shops,8
Furniture Rental,8
Surf Schools,8
Caricatures,8
Golf Cart Rentals,8
Airsoft,8
Mobile Home Dealers,8
Buddhist Temples,8
Retina Specialists,8
Cannabis Collective,8
Flowers,8
Petting Zoos,8
Animal Physical Therapy,8
Oxygen Bars,7
Tuscan,7
Planetarium,7
Sandblasting,7
Behavior Analysts,7
Contract Law,7
Traditional Clothing,7
Backflow Services,7
Golf Cart Dealers,7
Free Diving,7
Ranches,7
Whale Watching Tours,7
Elder Care Planning,7
Observatories,7
LAN Centers,7
Taxidermy,7
Process Servers,7
Mobile Home Repair,7
International,7
Bike Sharing,6
Carpet Dyeing,6
Hungarian,6
Senegalese,6
South African,6
Striptease Dancers,6
Indoor Landscaping,6
Czech,6
Placenta Encapsulations,6
Hong Kong Style Cafe,6
Nicaraguan,6
Bus Rental,6
Senior Centers,6
Meaderies,5
3D Printing,5
Spin Classes,5
Traffic Schools,5
Luggage Storage,5
Billing Services,5
Immunodermatologists,5
Drones,5
Austrian,5
Private Jet Charter,5
Undersea/Hyperbaric Medicine,5
Land Surveying,5
Neurotologists,5
Bicycles,5
Scottish,5
Mortuary Services,5
Club Crawl,5
Coffee & Tea Supplies,5
Ethical Grocery,4
Gerontologists,4
Fur Clothing,4
Sardinian,4
Bus Stations,4
Georgian,4
Hindu Temples,4
Hang Gliding,4
Trivia Hosts,4
Biohazard Cleanup,4
Apartment Agents,4
Tenant and Eviction Law,4
Duplication Services,4
Sex Therapists,4
Disability Law,4
Pedicabs,4
Sports Betting,4
Proctologists,4
Adoption Services,4
Bingo Halls,4
Racing Experience,4
Product Design,4
Currency Exchange,4
Aircraft Repairs,4
Chinese Martial Arts,4
Phlebologists,4
Drama Schools,4
Portable Toilet Services,4
DIY Auto Shop,4
Skiing,3
Supper Clubs,3
Municipality,3
Consumer Law,3
College Counseling,3
Nudist,3
Embassy,3
Nursing Schools,3
Elevator Services,3
Oriental,3
Jails & Prisons,3
Unofficial Yelp Events,3
Squash,3
Elder Law,3
Game Truck Rental,3
Carousels,3
Flyboarding,3
Childproofing,3
Community Gardens,3
IP & Internet Law,3
Crisis Pregnancy Centers,3
Sri Lankan,3
Sheds & Outdoor Storage,3
Electricity Suppliers,3
Badminton,3
Neuropathologists,3
Playsets,3
Ferries,3
Bike Repair,3
Ice Delivery,3
Cannabis Tours,2
Art Consultants,2
Hotel bar,2
Art Installation,2
Calligraphy,2
Kiteboarding,2
Veterans Organizations,2
Bocce Ball,2
Hakka,2
Sauna Installation & Repair,2
Otologists,2
Vocal Coach,2
Sports Psychologists,2
Rodeo,2
Experiences,2
Cheerleading,2
Mosques,2
Cheese Tasting Classes,2
Eastern European,2
Homeless Shelters,2
Outdoor Movies,2
Bike Shop,2
Ski Schools,2
Israeli,2
Sledding,2
Silent Disco,2
Fire Departments,2
General Festivals,2
Infectious Disease Specialists,2
Kitchen Incubators,2
Waldorf Schools,2
Concept Shops,2
Nephrologists,2
Bicycle Paths,2
Dumplings,2
Somali,2
Makerspaces,1
Dialysis Clinics,1
Karaoke Rental,1
Interlock Systems,1
Animal Assisted Therapy,1
Storefront Clinics,1
Metal Detector Services,1
Fuel Docks,1
Osteopaths,1
Calabrian,1
Bike Parking,1
Sperm Clinic,1
Circus Schools,1
Bubble Soccer,1
Faith-based Crisis Pregnancy Centers,1
Pathologists,1
Parent Cafes,1
Beer Hall,1
Paragliding,1
DUI Schools,1
Ceremonial Clothing,1
Aviation Services,1
Kiosk,1
Vermouth Bars,1
Tonkatsu,1
Pickleball,1
Trade Fairs,1
Donburi,1
Fencing Clubs,1
Water Suppliers,1
Lahmacun,1
Roman,1
Dart Arenas,1
Parklets,1
Sport Equipment Hire,1
Hospitalists,1
Halfway Houses,1
Beach Bars,1
Hepatologists,1
Conveyor Belt Sushi,1
Serbo Croatian,1
Natural Gas Suppliers,1
Guamanian,1
Foot Care,1
Fuzhou,1
Aircraft Dealers,1
Town Hall,1
Pita,1
Stonemasons,1
Mohels,1
Hainan,1
Housing Cooperatives,1
Cucina campana,1
Wildlife Hunting Ranges,1
Patent Law,1
Props,1
